scenario,slice,group,metric,block_dates,draws,mean_delta,ci_low,ci_high
calendar_assumed_replay,currency_year,TJS:2025,brier,50,500,-0.00442358525516985,-0.0057911476640511135,-0.0030875928559628845
calendar_assumed_replay,currency_year,TJS:2025,logloss,50,500,-0.014744930908872765,-0.019086528690901917,-0.0103262526660882
calendar_assumed_replay,currency_year,TJS:2025,auc,50,500,0.09463810759789358,0.05105976520167818,0.13691887760541072
calendar_assumed_replay,currency_year,TJS:2026,brier,20,500,-0.003920493911677886,-0.008687122260746305,-0.0009712778536390893
calendar_assumed_replay,currency_year,TJS:2026,logloss,20,500,-0.013735895487276271,-0.031371668700851826,-0.0027941673771051307
calendar_assumed_replay,currency_year,TJS:2026,auc,20,500,0.07859473304314457,0.0015081590281447608,0.1733274504929089
calendar_assumed_replay,currency_year,TJS:2026,brier,50,500,-0.00396209448414307,-0.00887398113829341,-0.001090840334652201
calendar_assumed_replay,currency_year,TJS:2026,logloss,50,500,-0.013900593859975803,-0.032174290160215425,-0.0032330606531385396
calendar_assumed_replay,currency_year,TJS:2026,auc,50,500,0.07732237928377174,-0.0032309848931647953,0.18030590355000115
calendar_assumed_replay,currency_year,UZS:2025,brier,20,500,-0.0023823992583000874,-0.003776421702804631,-0.0011915415265962635
calendar_assumed_replay,currency_year,UZS:2025,logloss,20,500,-0.009057741029235374,-0.014153752048443775,-0.004826763824001876
calendar_assumed_replay,currency_year,UZS:2025,auc,20,500,0.05988224118096898,0.03500402542853561,0.08986063955288494
calendar_assumed_replay,currency_year,UZS:2025,brier,50,500,-0.002400449209316084,-0.004186044113433069,-0.0007578974853741624
calendar_assumed_replay,currency_year,UZS:2025,logloss,50,500,-0.009124634006003428,-0.015538049608872267,-0.0032968657023042594
calendar_assumed_replay,currency_year,UZS:2025,auc,50,500,0.058901813920529386,0.022576352991507155,0.09732724368196974
calendar_assumed_replay,currency_year,UZS:2026,brier,20,500,-0.005161690271448964,-0.00935057853475117,-0.0016528720005588387
calendar_assumed_replay,currency_year,UZS:2026,logloss,20,500,-0.01950820269497847,-0.03594592572101691,-0.005887605987891281
calendar_assumed_replay,currency_year,UZS:2026,auc,20,500,0.08982522989353998,0.01626315599156329,0.17295644143706765
calendar_assumed_replay,currency_year,UZS:2026,brier,50,500,-0.005264480101658803,-0.009462031024121766,-0.001824071485533287
calendar_assumed_replay,currency_year,UZS:2026,logloss,50,500,-0.01988374129585646,-0.03556151501377216,-0.006668008089510842
calendar_assumed_replay,currency_year,UZS:2026,auc,50,500,0.08769536224825335,0.022533278341907385,0.16169178166916032
no_same_day_receipt,currency,AMD,brier,20,500,-0.002936146310322174,-0.005373616919892945,-0.0009742964917056102
no_same_day_receipt,currency,AMD,logloss,20,500,-0.009832314530140997,-0.018244820888836808,-0.002995322027261213
no_same_day_receipt,currency,AMD,auc,20,500,0.05856864848284487,0.018277731959728427,0.10362536656239632
no_same_day_receipt,currency,AMD,brier,50,500,-0.0028936029774936207,-0.005956114019479641,-0.0003298403375028163
no_same_day_receipt,currency,AMD,logloss,50,500,-0.009681695785940246,-0.02065007210293365,-0.0008493292761365376
no_same_day_receipt,currency,AMD,auc,50,500,0.05623333588033298,0.00780950286829823,0.10423072811447807
no_same_day_receipt,currency,KGS,brier,20,500,-0.002965903326294332,-0.005161485350574441,-0.0011917770407305639
