origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,n_model_train,weight_sum,local_counts,meta_n,meta_prefer_extra,brier_count_min,brier_count_max,extra_weight_min,extra_weight_max
2025-10-01,local_extra,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,2354,,"{""AMD"": 477, ""KGS"": 471, ""KZT"": 450, ""TJS"": 492, ""UZS"": 464}",,,,,,
2025-10-01,router_extra_local,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,2354,,,2113.0,980.0,,,,
2026-01-01,extra_roll2,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,1203,,,,,,,,
2026-01-01,extra_roll3,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,1897,,,,,,,,
2026-01-01,extra_decay730,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,2515,1328.3964307403262,,,,,,,
2026-01-01,local_extra,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,2515,,"{""AMD"": 510, ""KGS"": 501, ""KZT"": 483, ""TJS"": 524, ""UZS"": 497}",,,,,,
2026-01-01,router_extra_local,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,2515,,,2274.0,1064.0,,,,
2026-04-01,extra_roll2,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,1162,,,,,,,,
2026-04-01,extra_roll3,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,1839,,,,,,,,
2026-04-01,extra_decay730,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,2637,1333.2107629991374,,,,,,,
2026-04-01,local_extra,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,2637,,"{""AMD"": 536, ""KGS"": 523, ""KZT"": 510, ""TJS"": 546, ""UZS"": 522}",,,,,,
2026-04-01,router_extra_local,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,2637,,,2396.0,1123.0,,,,
2026-07-01,extra_roll2,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,1159,,,,,,,,
2026-07-01,extra_roll3,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,1802,,,,,,,,
2026-07-01,extra_decay730,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,2775,1350.2814912760214,,,,,,,
2026-07-01,local_extra,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,2775,,"{""AMD"": 563, ""KGS"": 546, ""KZT"": 540, ""TJS"": 574, ""UZS"": 552}",,,,,,
2026-07-01,router_extra_local,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,2775,,,2534.0,1190.0,,,,
2022-07-01,brier365_extra_local,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,168,,,,,0.0,168.0,0.2790894305304915,0.5
2022-10-01,brier365_extra_local,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,361,,,,,170.0,361.0,0.4601210325081838,0.5997017927317773
2023-01-01,brier365_extra_local,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,535,,,,,362.0,535.0,0.5385021944751167,0.5879665223777035
2023-04-01,brier365_extra_local,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,708,,,,,539.0,708.0,0.5383340608471874,0.5603834153818761
2023-07-01,brier365_extra_local,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,738,,,,,705.0,738.0,0.5474604512193975,0.602574817692292
2023-10-01,brier365_extra_local,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,750,,,,,689.0,750.0,0.5286422417862953,0.5745023986009961
2024-01-01,brier365_extra_local,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,699,,,,,662.0,699.0,0.5555259463358972,0.6317330476527429
2024-04-01,brier365_extra_local,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,684,,,,,640.0,684.0,0.6267192918262166,0.7056214455461506
2024-07-01,brier365_extra_local,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,645,,,,,608.0,645.0,0.6929963579031551,0.7475941966823935
2024-10-01,brier365_extra_local,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,677,,,,,616.0,677.0,0.722526680472721,0.7565877665583868
