candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps,cny_weight
cny075_anchor025,quarter,2022Q4,325,91,1.4,0.40307692307692305,0.7032967032967034,1.7448200654307526,220.03547135931353,0.75
cny075_anchor025,year,2023,1235,318,1.257627118644068,0.3781376518218624,0.6194968553459119,1.6382839750582465,100.42846894084093,0.75
cny075_anchor025,quarter,2023Q1,280,79,1.3825,0.4857142857142857,0.620253164556962,1.2769918093819805,79.18999674532517,0.75
cny075_anchor025,quarter,2023Q2,305,86,1.3377777777777777,0.4,0.7558139534883721,1.8895348837209303,161.1933884049136,0.75
cny075_anchor025,quarter,2023Q3,330,82,1.2615384615384615,0.42424242424242425,0.5853658536585366,1.3797909407665505,96.31618054188368,0.75
cny075_anchor025,quarter,2023Q4,320,71,1.1295454545454544,0.215625,0.49295774647887325,2.2861808532353542,55.20683342323513,0.75
cny075_anchor025,currency,TJS,494,134,1.3064066852367688,0.34615384615384615,0.5746268656716418,1.6600331674958542,124.42905429787508,0.75
cny075_anchor025,currency,UZS,494,127,1.2381615598885793,0.32388663967611336,0.5354330708661418,1.6531496062992128,116.64898546110236,0.75
cny075_anchor025,currency,KGS,494,133,1.2966573816155988,0.32186234817813764,0.5037593984962406,1.565139263252471,90.69596353016888,0.75
cny075_anchor025,currency,AMD,494,131,1.277158774373259,0.33805668016194335,0.5267175572519084,1.5580746903140283,117.33930683350697,0.75
cny075_anchor025,currency,KZT,494,136,1.3259052924791086,0.3097165991902834,0.5367647058823529,1.7330834294502115,98.2882879418047,0.75
cny080_anchor020,overall,all,2470,655,1.277158774373259,0.32793522267206476,0.5297709923664122,1.615474507586467,109.07855372264366,0.8
cny080_anchor020,year,2022,1235,343,1.356497175141243,0.2777327935222672,0.4489795918367347,1.6165883262926162,117.8949520942749,0.8
cny080_anchor020,quarter,2022Q1,280,69,1.2227848101265824,0.30357142857142855,0.5942028985507246,1.9573742540494459,217.3177528964098,0.8
cny080_anchor020,quarter,2022Q2,300,89,1.3844444444444444,0.09666666666666666,0.16853932584269662,1.743510267338241,0.37849186750526664,0.8
cny080_anchor020,quarter,2022Q3,330,95,1.4615384615384615,0.296969696969697,0.35789473684210527,1.2051557465091298,55.99577809718771,0.8
cny080_anchor020,quarter,2022Q4,325,90,1.3846153846153846,0.40307692307692305,0.7111111111111111,1.76420695504665,223.21954358936898,0.8
cny080_anchor020,year,2023,1235,312,1.2338983050847459,0.3781376518218624,0.6185897435897436,1.6358850820842255,99.38616705126701,0.8
cny080_anchor020,quarter,2023Q1,280,74,1.295,0.4857142857142857,0.6081081081081081,1.251987281399046,77.47168107938549,0.8
cny080_anchor020,quarter,2023Q2,305,84,1.3066666666666666,0.4,0.7619047619047619,1.9047619047619047,159.26341697100327,0.8
cny080_anchor020,quarter,2023Q3,330,82,1.2615384615384615,0.42424242424242425,0.5853658536585366,1.3797909407665505,96.07091405857285,0.8
cny080_anchor020,quarter,2023Q4,320,72,1.1454545454545455,0.215625,0.5,2.318840579710145,55.82830196879911,0.8
cny080_anchor020,currency,TJS,494,132,1.286908077994429,0.34615384615384615,0.5681818181818182,1.6414141414141417,116.48937247724922,0.8
cny080_anchor020,currency,UZS,494,128,1.2479108635097493,0.32388663967611336,0.515625,1.5919921875,111.86668657354608,0.8
cny080_anchor020,currency,KGS,494,134,1.3064066852367688,0.32186234817813764,0.5,1.5534591194968554,97.55033947314973,0.8
cny080_anchor020,currency,AMD,494,130,1.267409470752089,0.33805668016194335,0.5153846153846153,1.5245508982035925,114.64518696660869,0.8
cny080_anchor020,currency,KZT,494,131,1.277158774373259,0.3097165991902834,0.549618320610687,1.7745846430175125,105.15496064778328,0.8
cny090_anchor010,overall,all,2470,676,1.3181058495821727,0.32793522267206476,0.5118343195266272,1.560778727445394,95.71155341872232,0.9
cny090_anchor010,year,2022,1235,361,1.4276836158192092,0.2777327935222672,0.42382271468144045,1.5260088998005217,91.1686791396587,0.9
cny090_anchor010,quarter,2022Q1,280,71,1.2582278481012656,0.30357142857142855,0.5633802816901409,1.8558409279204642,169.4051125354052,0.9
cny090_anchor010,quarter,2022Q2,300,102,1.5866666666666664,0.09666666666666666,0.14705882352941177,1.5212981744421907,-42.94339686659363,0.9
cny090_anchor010,quarter,2022Q3,330,98,1.5076923076923079,0.296969696969697,0.3469387755102041,1.1682632236568096,52.80201772196276,0.9
cny090_anchor010,quarter,2022Q4,325,90,1.3846153846153846,0.40307692307692305,0.7111111111111111,1.76420695504665,223.21954358936898,0.9
cny090_anchor010,year,2023,1235,315,1.2457627118644068,0.3781376518218624,0.6126984126984127,1.6203052241596139,100.91783156076026,0.9
cny090_anchor010,quarter,2023Q1,280,67,1.1725,0.4857142857142857,0.582089552238806,1.1984196663740123,66.77924132457383,0.9
cny090_anchor010,quarter,2023Q2,305,83,1.291111111111111,0.4,0.7590361445783133,1.897590361445783,169.00155005196112,0.9
cny090_anchor010,quarter,2023Q3,330,86,1.323076923076923,0.42424242424242425,0.5813953488372093,1.3704318936877078,95.5056745157829,0.9
cny090_anchor010,quarter,2023Q4,320,79,1.2568181818181818,0.215625,0.5189873417721519,2.4068978169143276,64.23153304079672,0.9
cny090_anchor010,currency,TJS,494,133,1.2966573816155988,0.34615384615384615,0.556390977443609,1.6073517126148704,106.07544707510988,0.9
cny090_anchor010,currency,UZS,494,138,1.3454038997214486,0.32388663967611336,0.4927536231884058,1.521376811594203,96.50263783957766,0.9
cny090_anchor010,currency,KGS,494,135,1.3161559888579388,0.32186234817813764,0.48148148148148145,1.4959235965525273,88.08516335071008,0.9
cny090_anchor010,currency,AMD,494,134,1.3064066852367688,0.33805668016194335,0.5074626865671642,1.501117168647779,97.15462119764732,0.9
cny090_anchor010,currency,KZT,494,136,1.3259052924791086,0.3097165991902834,0.5220588235294118,1.685601691657055,90.92202452481132,0.9
cny100_anchor000,overall,all,2470,668,1.3025069637883009,0.32793522267206476,0.5029940119760479,1.5338212463960967,86.48280694397572,1.0
cny100_anchor000,year,2022,1235,354,1.4,0.2777327935222672,0.4293785310734463,1.5460130783548285,77.40413272366052,1.0
cny100_anchor000,quarter,2022Q1,280,69,1.2227848101265824,0.30357142857142855,0.5797101449275363,1.9096334185848254,100.97077141412791,1.0
cny100_anchor000,quarter,2022Q2,300,105,1.6333333333333333,0.09666666666666666,0.14285714285714285,1.477832512315271,-48.97397067127202,1.0
cny100_anchor000,quarter,2022Q3,330,92,1.4153846153846152,0.296969696969697,0.33695652173913043,1.1346495119787043,62.33545147360395,1.0
cny100_anchor000,quarter,2022Q4,325,88,1.353846153846154,0.40307692307692305,0.75,1.8606870229007635,225.4714220626477,1.0
cny100_anchor000,year,2023,1235,314,1.2418079096045198,0.3781376518218624,0.5859872611464968,1.5496665257300288,96.71800017324824,1.0
cny100_anchor000,quarter,2023Q1,280,61,1.0675,0.4857142857142857,0.5573770491803278,1.1475409836065573,58.57920823167533,1.0
cny100_anchor000,quarter,2023Q2,305,78,1.2133333333333332,0.4,0.7948717948717948,1.987179487179487,183.02121942064522,1.0
cny100_anchor000,quarter,2023Q3,330,84,1.2923076923076924,0.42424242424242425,0.5357142857142857,1.2627551020408163,88.00997212361524,1.0
cny100_anchor000,quarter,2023Q4,320,91,1.4477272727272728,0.215625,0.4725274725274725,2.191431756649148,56.347555813997204,1.0
cny100_anchor000,currency,TJS,494,134,1.3064066852367688,0.34615384615384615,0.5447761194029851,1.5737976782752903,85.00994838995656,1.0
cny100_anchor000,currency,UZS,494,131,1.277158774373259,0.32388663967611336,0.4961832061068702,1.5319656488549618,85.23676237120588,1.0
cny100_anchor000,currency,KGS,494,135,1.3161559888579388,0.32186234817813764,0.4888888888888889,1.5189378057302585,93.00924016878587,1.0
cny100_anchor000,currency,AMD,494,136,1.3259052924791086,0.33805668016194335,0.47794117647058826,1.4137900669249734,83.4865783955474,1.0
cny100_anchor000,currency,KZT,494,132,1.286908077994429,0.3097165991902834,0.5075757575757576,1.638839374133492,85.62684847812945,1.0
