rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,predeclared_order
0.22,231,1.4373333333333334,20,0,0.4155844155844156,0.3401273885350318,1.2218493117369524,0.6478171590531141,51.74972139614501,1.2218493117369524,1.2218493117369524,1,1,1.3377777777777777,1.5866666666666664,1.0953488372093023,0.9070796460176991,1.2218493117369524,1.4373333333333334,1.4373333333333334,1.3,1.5636363636363635,3,rocket_resolved2000,2026,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,3036,1.209217638691323,20,0,0.3909749670619236,0.27471602860748845,1.423196779029391,0.6343702277192895,32.4654354337013,1.1069753837734817,1.3620717153748845,10,10,1.1948790896159316,1.2386913229018492,1.3953039832285117,0.7875288683602771,1.4334096868327617,1.0796610169491525,1.5498591549295773,0.4719101123595506,1.940909090909091,39,rocket_resolved2000,2017_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,311,1.2299435028248589,20,0,0.4533762057877814,0.21700404858299596,2.089252291596679,0.7890826374847583,11.854960386234694,2.089252291596679,2.089252291596679,1,1,1.1864406779661016,1.265536723163842,1.7556041552761072,0.7418300653594772,2.089252291596679,1.2299435028248589,1.2299435028248589,1.1025,1.415909090909091,4,primary75_rocket25_lifecycle,2017,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,310,1.225988700564972,20,0,0.43870967741935485,0.28825910931174087,1.521928234867706,0.7323918906827217,56.28197967505107,1.521928234867706,1.521928234867706,1,1,1.1666666666666667,1.3248587570621468,1.399738448125545,0.7672131147540984,1.521928234867706,1.225988700564972,1.225988700564972,1.1454545454545455,1.4786516853932585,4,primary75_rocket25_lifecycle,2018,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,286,1.127887323943662,20,0,0.4195804195804196,0.2105691056910569,1.9926019926019927,0.690634580438906,23.25823260976702,1.9926019926019927,1.9926019926019927,1,1,1.1042253521126761,1.1633802816901408,1.7869249394673126,0.7259786476868327,1.9926019926019927,1.127887323943662,1.127887323943662,0.8272727272727273,1.4,4,primary75_rocket25_lifecycle,2019,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,284,1.0893150684931505,20,0,0.426056338028169,0.2674897119341564,1.592795232936078,0.7110406222990493,73.93569129902758,1.592795232936078,1.592795232936078,1,1,1.0547945205479452,1.1123287671232875,1.469758064516129,0.6630824372759857,1.592795232936078,1.0893150684931505,1.0893150684931505,0.9666666666666667,1.2923076923076924,4,primary75_rocket25_lifecycle,2020,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,314,1.2076923076923076,20,0,0.410828025477707,0.2314516129032258,1.7750061031092568,0.7466683241259036,39.81947224404357,1.7750061031092568,1.7750061031092568,1,1,1.1923076923076923,1.2692307692307692,1.650793650793651,0.7152103559870551,1.7750061031092568,1.2076923076923076,1.2076923076923076,1.1168539325842697,1.4155555555555555,4,primary75_rocket25_lifecycle,2021,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,318,1.257627118644068,20,0,0.4528301886792453,0.2777327935222672,1.6304527201716266,0.636039169030841,98.7889991533399,1.6304527201716266,1.6304527201716266,1,1,1.225988700564972,1.2853107344632768,1.507936507936508,0.7731629392971247,1.6304527201716266,1.257627118644068,1.257627118644068,0.9746835443037974,1.4622222222222223,4,primary75_rocket25_lifecycle,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,310,1.225988700564972,20,0,0.6870967741935484,0.3781376518218624,1.817054638391932,0.7769952266238401,118.57168710490167,1.817054638391932,1.817054638391932,1,1,1.1864406779661016,1.2457627118644068,1.69,0.740983606557377,1.817054638391932,1.225988700564972,1.225988700564972,0.9545454545454546,1.4777777777777776,4,primary75_rocket25_lifecycle,2023,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,307,1.2141242937853107,20,0,0.5407166123778502,0.3379032258064516,1.6002114542924446,0.6849307701475875,71.81696512668195,1.6002114542924446,1.6002114542924446,1,1,1.1666666666666667,1.265536723163842,1.5437751004016067,0.7847682119205298,1.6002114542924446,1.2141242937853107,1.2141242937853107,0.7795454545454547,1.9727272727272729,4,primary75_rocket25_lifecycle,2024,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,308,1.2146478873239437,20,0,0.44155844155844154,0.22186234817813766,1.9902360413309317,0.728660458615949,55.10380651333765,1.9902360413309317,1.9902360413309317,1,1,1.1830985915492958,1.2619718309859154,1.8034920634920635,0.8085808580858086,1.9902360413309317,1.2146478873239437,1.2146478873239437,1.1613636363636364,1.353846153846154,4,primary75_rocket25_lifecycle,2025,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,202,1.2568888888888887,20,0,0.6188118811881188,0.3401273885350318,1.819353283642971,0.7577690049600163,120.62102817061358,1.819353283642971,1.819353283642971,1,1,1.151111111111111,1.3377777777777777,1.4888572783309628,0.8324873096446701,1.819353283642971,1.2568888888888887,1.2568888888888887,1.0266666666666666,1.5090909090909093,3,primary75_rocket25_lifecycle,2026,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,2950,1.1749644381223328,20,0,0.4850847457627119,0.27471602860748845,1.7657679030290445,0.7148867088540131,65.37103886205986,1.521928234867706,1.7960303707505942,10,10,1.170981507823613,1.186913229018492,1.7110900627841523,0.7436332767402377,1.7828891992941618,1.0893150684931505,1.257627118644068,0.7795454545454547,1.9727272727272729,39,primary75_rocket25_lifecycle,2017_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,3
0.22,315,1.2457627118644068,20,0,0.473015873015873,0.21700404858299596,2.179755981994788,0.7897598357745913,13.900870093706178,2.179755981994788,2.179755981994788,1,1,1.225988700564972,1.2853107344632768,1.9581738655002732,0.7677419354838709,2.179755981994788,1.2457627118644068,1.2457627118644068,1.12,1.4000000000000001,4,primary_then_regime2024,2017,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,311,1.2299435028248589,20,0,0.4533762057877814,0.28825910931174087,1.5728079049098596,0.7394047756004652,62.860345925518956,1.5728079049098596,1.5728079049098596,1,1,1.1468926553672316,1.305084745762712,1.4305019305019304,0.8169934640522876,1.5728079049098596,1.2299435028248589,1.2299435028248589,1.0818181818181818,1.6674157303370787,4,primary_then_regime2024,2018,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,269,1.0608450704225352,20,0,0.4200743494423792,0.2105691056910569,1.9949476826800248,0.6788110016740295,25.778917616490485,1.9949476826800248,1.9949476826800248,1,1,1.0450704225352112,1.084507042253521,1.6565656565656566,0.696969696969697,1.9949476826800248,1.0608450704225352,1.0608450704225352,0.8590909090909091,1.240506329113924,4,primary_then_regime2024,2019,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,284,1.0893150684931505,20,0,0.4507042253521127,0.2674897119341564,1.6849404117009752,0.717761452031115,71.8494122883309,1.6849404117009752,1.6849404117009752,1,1,1.0164383561643835,1.1506849315068493,1.5093167701863355,0.6344086021505376,1.6849404117009752,1.0893150684931505,1.0893150684931505,0.9833333333333334,1.2461538461538462,4,primary_then_regime2024,2020,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,309,1.1884615384615385,20,0,0.4401294498381877,0.2314516129032258,1.9016045916353754,0.7527156129003951,48.13306562944289,1.9016045916353754,1.9016045916353754,1,1,1.1538461538461537,1.2307692307692308,1.7617486338797812,0.6875,1.9016045916353754,1.1884615384615385,1.1884615384615385,0.9123595505617977,1.5076923076923079,4,primary_then_regime2024,2021,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,354,1.4,20,0,0.4293785310734463,0.2777327935222672,1.5460130783548285,0.6469998954097975,77.40413272366052,1.5460130783548285,1.5460130783548285,1,1,1.364406779661017,1.4435028248587571,1.47704475308642,0.8424068767908309,1.5460130783548285,1.4,1.4,1.2227848101265824,1.6333333333333333,4,primary_then_regime2024,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,314,1.2418079096045198,20,0,0.5859872611464968,0.3781376518218624,1.5496665257300288,0.7641584136331192,96.71800017324824,1.5496665257300288,1.5496665257300288,1,1,1.225988700564972,1.265536723163842,1.3812499999999999,0.8025889967637541,1.5496665257300288,1.2418079096045198,1.2418079096045198,1.0675,1.4477272727272728,4,primary_then_regime2024,2023,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,348,1.3762711864406778,20,0,0.5316091954022989,0.3379032258064516,1.5732587167037009,0.6757214410507008,64.27248175081212,1.5732587167037009,1.5732587167037009,1,1,1.265536723163842,1.423728813559322,1.4857142857142858,0.7900874635568513,1.5732587167037009,1.3762711864406778,1.3762711864406778,0.8909090909090909,2.1174999999999997,4,primary_then_regime2024,2024,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,319,1.2580281690140844,20,0,0.44200626959247646,0.22186234817813766,1.9922545363018556,0.7386257472067569,54.76269857681946,1.9922545363018556,1.9922545363018556,1,1,1.2422535211267605,1.2816901408450705,1.7836734693877552,0.8184713375796179,1.9922545363018556,1.2580281690140844,1.2580281690140844,1.1128205128205129,1.4307692307692308,4,primary_then_regime2024,2025,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,212,1.319111111111111,20,0,0.6367924528301887,0.3401273885350318,1.8722175111299557,0.7639762555492892,122.20155098981566,1.8722175111299557,1.8722175111299557,1,1,1.2755555555555553,1.3688888888888888,1.4427736006683376,0.8405797101449275,1.8722175111299557,1.319111111111111,1.319111111111111,0.98,1.725,3,primary_then_regime2024,2026,rolling,0.22,20,0,0,0.0,0.0,0,0,4
0.22,3035,1.2088193456614509,20,0,0.48237232289950577,0.27471602860748845,1.7558943515040202,0.7167433014855584,62.48915624852663,1.5460130783548285,1.7785789614154655,10,10,1.186913229018492,1.22475106685633,1.6982247239662265,0.7613861386138614,1.786746694114139,1.0608450704225352,1.4,0.8590909090909091,2.1174999999999997,39,primary_then_regime2024,2017_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,4
