candidate,h,mean_bps,ci_lo,ci_hi
ap4_w25_path_recent128_urgent_cap2,10,40.98204217420861,8.261403801541945,71.90589461357357
ap4_w25_path_recent128_urgent_cap2,20,57.4243003146962,-7.972190744355373,108.76949017125686
path_unconditional_h5_urgent_cap2,1,-12.735207365411258,-24.37219110101794,-3.119221288408935
path_unconditional_h5_urgent_cap2,3,-11.722655439182141,-25.460244598193945,-2.093238336599864
path_unconditional_h5_urgent_cap2,5,-9.131743160784096,-27.160782863034914,4.059485413876214
path_unconditional_h5_urgent_cap2,10,-9.039257988882044,-40.88989466624873,19.914981281200767
path_unconditional_h5_urgent_cap2,20,-17.541117962829315,-81.52302563655296,36.92748274312125
path_unconditional_mean_urgent_cap2,1,-12.735207365411258,-24.37219110101794,-3.119221288408935
path_unconditional_mean_urgent_cap2,3,-11.722655439182141,-25.460244598193945,-2.093238336599864
path_unconditional_mean_urgent_cap2,5,-9.131743160784096,-27.160782863034914,4.059485413876214
path_unconditional_mean_urgent_cap2,10,-9.039257988882044,-40.88989466624873,19.914981281200767
path_unconditional_mean_urgent_cap2,20,-17.541117962829315,-81.52302563655296,36.92748274312125
path_unconditional_forward25_urgent_cap2,1,-9.519922769591853,-29.94229006948908,7.251289340379555
path_unconditional_forward25_urgent_cap2,3,-5.190010785342596,-27.29675725707048,10.759760769585622
path_unconditional_forward25_urgent_cap2,5,-3.803541708760632,-33.21921144111483,20.81630702018383
path_unconditional_forward25_urgent_cap2,10,-7.513037710186508,-62.38800381138035,46.27126324390622
path_unconditional_forward25_urgent_cap2,20,-29.428931195146966,-113.56487614466288,62.20224351290932
path_unconditional_symmetric25_urgent_cap2,1,-0.9993731695395757,-14.351790507985031,11.255551022876787
path_unconditional_symmetric25_urgent_cap2,3,4.55630823158643,-13.281264728798472,21.206959854396914
path_unconditional_symmetric25_urgent_cap2,5,6.560340816911958,-15.711658956993627,26.33956671657697
path_unconditional_symmetric25_urgent_cap2,10,9.172206387105756,-31.405937369758767,40.54189695362273
path_unconditional_symmetric25_urgent_cap2,20,-0.26341045124940676,-72.24916768977089,57.049989030468716
cny50_path_unconditional_urgent_cap2,1,20.78386120172729,13.4161425022569,27.623500583815964
cny50_path_unconditional_urgent_cap2,3,22.104754170072116,10.943547728756183,31.52735621545088
cny50_path_unconditional_urgent_cap2,5,28.444270450776656,8.189369200289404,45.109873775426706
cny50_path_unconditional_urgent_cap2,10,33.88850112042411,-2.370661960098032,68.00361546203301
cny50_path_unconditional_urgent_cap2,20,38.60951949500378,-24.196969127241463,87.92786755264069
ap4_w25_path_unconditional_urgent_cap2,1,20.1272456799387,14.549468529579807,26.8348802314372
ap4_w25_path_unconditional_urgent_cap2,3,30.110337518877333,21.09596675528617,39.75019189202876
ap4_w25_path_unconditional_urgent_cap2,5,36.40095613400057,22.145175002374426,52.36469442711234
ap4_w25_path_unconditional_urgent_cap2,10,44.73790830311986,15.105788560483113,73.90049174690344
ap4_w25_path_unconditional_urgent_cap2,20,56.290846093498935,-4.74553409322407,108.27524304542457
path_forest_h5_urgent_cap2,1,9.188320796912054,5.105000938680074,13.984911420757618
path_forest_h5_urgent_cap2,3,13.633363577819605,4.2930789452343765,23.22742027614565
path_forest_h5_urgent_cap2,5,16.209873943660497,-1.4084416341838133,31.69172591845881
path_forest_h5_urgent_cap2,10,22.708494322194777,-13.033770843443774,55.455638473278164
path_forest_h5_urgent_cap2,20,22.249721383416823,-45.8864791206133,74.9174344302859
path_forest_mean_urgent_cap2,1,6.274163003615971,1.0457797356021845,12.328817033655715
path_forest_mean_urgent_cap2,3,10.125998020097224,1.4295254711355792,19.62683668693838
path_forest_mean_urgent_cap2,5,11.429855226193085,-3.5250486922876405,26.21380532201165
path_forest_mean_urgent_cap2,10,18.85717348973651,-15.397948042069988,50.14375274084632
path_forest_mean_urgent_cap2,20,20.171879391057733,-46.24881892981078,74.6736084099011
path_forest_forward25_urgent_cap2,1,11.607932481028826,6.770994562782748,16.686888531155425
path_forest_forward25_urgent_cap2,3,18.156624824113212,9.104542082179067,28.13647667427121
path_forest_forward25_urgent_cap2,5,21.381279370031564,6.001308190359355,37.12728013276689
path_forest_forward25_urgent_cap2,10,28.159821796567183,-6.681705658758186,61.90495011677822
path_forest_forward25_urgent_cap2,20,27.876782104708933,-36.27229324685414,76.69665084647885
path_forest_symmetric25_urgent_cap2,1,11.144521375697403,5.046067665761617,17.438183128968728
path_forest_symmetric25_urgent_cap2,3,15.641678301529874,7.182629094015631,22.826251455141556
path_forest_symmetric25_urgent_cap2,5,20.10792654113723,3.9150304993281058,33.30112733299891
