rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,screen_rank
0.22,328,1.2971751412429378,60,0,0.42378048780487804,0.3379032258064516,1.254147505675534,0.5598272088000256,36.1075388050748,1.254147505675534,1.254147505675534,1,1,1.225988700564972,1.344632768361582,1.1717171717171717,0.9318885448916409,1.254147505675534,1.2971751412429378,1.2971751412429378,0.7707865168539327,1.8931818181818183,4,primary67_target_panel_only_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1717171717171717,9
0.22,369,1.4552112676056337,60,0,0.2953929539295393,0.22186234817813766,1.3314244456313176,0.6002586265827111,-12.14956454877136,1.3314244456313176,1.3314244456313176,1,1,1.380281690140845,1.6169014084507043,1.2048780487804878,0.8763736263736264,1.3314244456313176,1.4552112676056337,1.4552112676056337,0.5538461538461539,2.925641025641026,4,primary67_target_panel_only_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2048780487804878,9
0.22,226,1.4062222222222223,60,0,0.4690265486725664,0.3401273885350318,1.3789731861721521,0.5777985047647969,74.99825554555675,1.3789731861721521,1.3789731861721521,1,1,1.182222222222222,1.4933333333333332,1.2580128205128207,0.9457013574660633,1.3789731861721521,1.4062222222222223,1.4062222222222223,0.13999999999999999,2.290909090909091,3,primary67_target_panel_only_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,9
0.22,595,1.4047217537942664,60,0,0.36134453781512604,0.26782178217821784,1.3491977197533356,0.599836403424905,20.95196039462049,1.3314244456313176,1.3551988159017347,2,2,1.3811129848229344,1.4283305227655987,1.2271028037383178,0.8949152542372881,1.3551988159017347,1.4062222222222223,1.4552112676056337,0.13999999999999999,2.925641025641026,7,primary67_target_panel_only_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2271028037383178,9
0.22,311,1.2299435028248589,60,0,0.4533762057877814,0.3379032258064516,1.3417338787036968,0.577987145311469,49.21786764666238,1.3417338787036968,1.3417338787036968,1,1,1.1468926553672316,1.3248587570621468,1.2698412698412698,0.9281045751633987,1.3417338787036968,1.2299435028248589,1.2299435028248589,0.7393258426966293,2.1795454545454547,4,primary80_target_panel_xgb,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2698412698412698,3
0.22,316,1.2461971830985916,60,0,0.30063291139240506,0.22186234817813766,1.3550425020789059,0.6132754050297364,-10.864027949398377,1.3550425020789059,1.3550425020789059,1,1,1.2028169014084507,1.3014084507042254,1.1976448857076887,0.8488745980707395,1.3550425020789059,1.2461971830985916,1.2461971830985916,0.7846153846153846,2.6923076923076925,4,primary80_target_panel_xgb,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1976448857076887,3
0.22,228,1.4186666666666665,60,0,0.4692982456140351,0.3401273885350318,1.379771995531901,0.5683665206137116,79.33029187623666,1.379771995531901,1.379771995531901,1,1,1.3066666666666666,1.5244444444444443,1.3037587412587412,0.9461883408071748,1.379771995531901,1.4186666666666665,1.4186666666666665,0.12444444444444444,2.4181818181818184,3,primary80_target_panel_xgb,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.3037587412587412,3
0.22,544,1.2843170320404722,60,0,0.3713235294117647,0.26782178217821784,1.3864575405023376,0.6054291816796832,26.938003153992774,1.3550425020789059,1.3674072488054034,2,2,1.2630691399662732,1.3102866779089377,1.2748309541697973,0.8812615955473099,1.3674072488054034,1.2461971830985916,1.4186666666666665,0.12444444444444444,2.6923076923076925,7,primary80_target_panel_xgb,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2748309541697973,3
0.22,310,1.225988700564972,60,0,0.45483870967741935,0.3379032258064516,1.3460620525059666,0.5786106936357372,47.6513428028456,1.3460620525059666,1.3460620525059666,1,1,1.1468926553672316,1.2853107344632768,1.271794871794872,0.9278688524590164,1.3460620525059666,1.225988700564972,1.225988700564972,0.6921348314606742,2.2113636363636364,4,primary75_target_panel_xgb,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.271794871794872,2
0.22,324,1.2777464788732393,60,0,0.29012345679012347,0.22186234817813766,1.307673245021177,0.6098308483407642,-15.083712265959278,1.307673245021177,1.307673245021177,1,1,1.2225352112676056,1.380281690140845,1.163265306122449,0.8526645768025078,1.307673245021177,1.2777464788732393,1.2777464788732393,0.7230769230769231,2.7461538461538466,4,primary75_target_panel_xgb,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.163265306122449,2
0.22,227,1.4124444444444442,60,0,0.4845814977973568,0.3401273885350318,1.4247059017637644,0.5706585397596634,83.95690429934486,1.4247059017637644,1.4247059017637644,1,1,1.3066666666666666,1.4933333333333332,1.37375,0.9459459459459459,1.4247059017637644,1.4124444444444442,1.4124444444444442,0.10888888888888888,2.4181818181818184,3,primary75_target_panel_xgb,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.37375,2
0.22,551,1.3008431703204049,60,0,0.3702359346642468,0.26782178217821784,1.382396650687206,0.6033801626967313,25.71886479451992,1.307673245021177,1.3661895733924707,2,2,1.2748735244519394,1.3220910623946038,1.2748309541697973,0.8827838827838828,1.3661895733924707,1.2777464788732393,1.4124444444444442,0.10888888888888888,2.7461538461538466,7,primary75_target_panel_xgb,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2748309541697973,2
0.22,310,1.225988700564972,60,0,0.45806451612903226,0.3379032258064516,1.3556085918854417,0.5790903461928668,51.776295408700335,1.3556085918854417,1.3556085918854417,1,1,1.1864406779661016,1.265536723163842,1.2916666666666667,0.921311475409836,1.3556085918854417,1.225988700564972,1.225988700564972,0.6606741573033709,2.243181818181818,4,primary67_target_panel_xgb,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2916666666666667,1
0.22,318,1.2540845070422535,60,0,0.2830188679245283,0.22186234817813766,1.2756507368131111,0.6034411387165133,-22.068083065032734,1.2756507368131111,1.2756507368131111,1,1,1.2028169014084507,1.3408450704225352,1.1761904761904762,0.8562300319488818,1.2756507368131111,1.2540845070422535,1.2540845070422535,0.5692307692307692,2.7641025641025645,4,primary67_target_panel_xgb,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1761904761904762,1
0.22,227,1.4124444444444442,60,0,0.4977973568281938,0.3401273885350318,1.4635615172664127,0.5738507367720851,85.24548661892587,1.4635615172664127,1.4635615172664127,1,1,1.2755555555555553,1.5866666666666664,1.4160784313725492,0.9414414414414415,1.4635615172664127,1.4124444444444442,1.4124444444444442,0.10888888888888888,2.4545454545454546,3,primary67_target_panel_xgb,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.4160784313725492,1
0.22,545,1.2866779089376055,60,0,0.3724770642201835,0.26782178217821784,1.3907646390476351,0.5999476340985753,22.62949550057938,1.2756507368131111,1.369606127039762,2,2,1.2512647554806071,1.33389544688027,1.3000804505229284,0.8833333333333333,1.369606127039762,1.2540845070422535,1.4124444444444442,0.10888888888888888,2.7641025641025645,7,primary67_target_panel_xgb,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.3000804505229284,1
