policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps,year
past_oof_rolling_120_q30,780,246,0.3153846153846154,1.5375,0.3423076923076923,0.5528455284552846,1.6150543527907189,1.6385706521739132,1.359375,97.75176798974891,2026
past_oof_rolling_250_q30,955,38,0.039790575916230364,0.19487179487179487,0.34659685863874345,0.5263157894736842,1.518524407695977,1.4236318261366478,0.0,68.35463569128108,2023
past_oof_rolling_250_q30,1240,374,0.3016129032258065,1.4790960451977402,0.3379032258064516,0.41711229946524064,1.2344134876775619,1.2082336735535681,1.0487562189054727,37.98178484286618,2024
past_oof_rolling_250_q30,1235,316,0.25587044534412956,1.2461971830985914,0.22186234817813766,0.30063291139240506,1.3550425020789059,1.367120364770897,1.0569453587886768,10.303310297353987,2025
past_oof_rolling_250_q30,780,190,0.24358974358974358,1.1875,0.3423076923076923,0.5736842105263158,1.6759314015375517,1.6906681888473603,0.9952153110047848,103.16912742118814,2026
past_oof_previous_fold_q40,955,80,0.08376963350785341,0.4102564102564103,0.34659685863874345,0.4375,1.2622734138972809,1.3514223317852097,0.7908902691511387,31.576647286872742,2023
past_oof_previous_fold_q40,1240,492,0.3967741935483871,1.945762711864407,0.3379032258064516,0.3780487804878049,1.1188078467896851,1.1071858069994998,0.7910685805422647,28.790167468056488,2024
past_oof_previous_fold_q40,1235,402,0.3255060728744939,1.5853521126760564,0.22186234817813766,0.2885572139303483,1.3006137197225551,1.2739153854828789,0.8976796197931226,8.330649324794894,2025
past_oof_previous_fold_q40,780,294,0.3769230769230769,1.8375,0.3423076923076923,0.5068027210884354,1.4805472750898112,1.4812215958797426,1.018359853121175,78.82485302165547,2026
past_oof_expanding_q40,955,43,0.04502617801047121,0.22051282051282053,0.34659685863874345,0.5581395348837209,1.61034216257992,1.446145018045232,0.0,82.18086600410302,2023
past_oof_expanding_q40,1240,314,0.2532258064516129,1.2418079096045198,0.3379032258064516,0.4394904458598726,1.3006399829743247,1.248746084294528,1.0508474576271185,43.60972533204355,2024
past_oof_expanding_q40,1235,266,0.2153846153846154,1.0490140845070424,0.22186234817813766,0.3007518796992481,1.3555787278415015,1.3380321258845769,0.8843537414965985,13.21786377779751,2025
past_oof_expanding_q40,780,122,0.1564102564102564,0.7625,0.3423076923076923,0.6229508196721312,1.8198563271320685,1.8367363547758289,1.1578947368421053,118.70374261358518,2026
past_oof_rolling_120_q40,955,178,0.18638743455497384,0.9128205128205128,0.34659685863874345,0.5842696629213483,1.6857327132625004,1.6910401353546174,1.4993961352657004,85.00295565207126,2023
past_oof_rolling_120_q40,1240,531,0.4282258064516129,2.1,0.3379032258064516,0.3728813559322034,1.1035152299664253,1.1064044419550048,0.917027417027417,28.59791545645399,2024
past_oof_rolling_120_q40,1235,483,0.3910931174089069,1.9047887323943662,0.22186234817813766,0.2484472049689441,1.119825905608197,1.114958180133885,0.7428571428571428,-13.549382021251157,2025
past_oof_rolling_120_q40,780,307,0.3935897435897436,1.91875,0.3423076923076923,0.495114006514658,1.4464004684697873,1.4660776950079357,1.24,76.72468655083271,2026
past_oof_rolling_250_q40,955,94,0.09842931937172775,0.482051282051282,0.34659685863874345,0.6063829787234043,1.7495339718454717,1.755268563541621,1.1235294117647059,90.13646422957798,2023
past_oof_rolling_250_q40,1240,467,0.37661290322580643,1.8468926553672318,0.3379032258064516,0.3961456102783726,1.1723640972438711,1.1505451342307351,1.0053436521098214,32.4999746204034,2024
past_oof_rolling_250_q40,1235,419,0.33927125506072875,1.6523943661971827,0.22186234817813766,0.27923627684964203,1.2586014668222916,1.2645816721638035,0.8090199042579994,1.5256856938137822,2025
past_oof_rolling_250_q40,780,248,0.31794871794871793,1.55,0.3423076923076923,0.5362903225806451,1.5666908300108733,1.5722219132737503,1.0947368421052632,97.42524115313199,2026
