period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,cutoff_1030,3,prior,50,248,-4.01545905428816,-9.84966357270613,1.851901821196786,0.906
screen_2024,cutoff_1130,3,model,20,248,-31.47010738676753,-48.755745978831264,-16.980422724125837,1.0
screen_2024,cutoff_1130,3,model,50,248,-31.47010738676753,-44.34713477236329,-15.842037539834958,1.0
screen_2024,cutoff_1130,3,prior,20,248,-4.741906383538356,-9.021599091314974,-0.8610361117251251,0.993
screen_2024,cutoff_1130,3,prior,50,248,-4.741906383538356,-9.546446505178539,0.21655566214600963,0.97
screen_2024,cutoff_1230,3,model,20,248,-31.638773259847593,-48.51255568971381,-18.276240542651554,1.0
screen_2024,cutoff_1230,3,model,50,248,-31.638773259847593,-44.95070900163334,-16.875315357261822,1.0
screen_2024,cutoff_1230,3,prior,20,248,-5.111252989873607,-9.13541462049249,-1.3127366076698215,0.996
screen_2024,cutoff_1230,3,prior,50,248,-5.111252989873607,-9.75361135044232,0.07327437198342507,0.972
screen_2024,cutoff_1330,3,model,20,248,-31.874440958177487,-47.58136957870123,-17.908224856573725,1.0
screen_2024,cutoff_1330,3,model,50,248,-31.874440958177487,-45.440699611479914,-16.18664056538079,1.0
screen_2024,cutoff_1330,3,prior,20,248,-5.811446765501196,-9.821224988349051,-2.050151423362209,1.0
screen_2024,cutoff_1330,3,prior,50,248,-5.811446765501196,-9.959812963697555,-1.1742483769719638,0.995
screen_2024,cutoff_1430,3,model,20,248,-30.566643670617765,-46.29872931210632,-15.861441406407272,1.0
screen_2024,cutoff_1430,3,model,50,248,-30.566643670617765,-43.91781800197964,-15.134497375055869,1.0
screen_2024,cutoff_1430,3,prior,20,248,-6.183266136423649,-9.777958622031312,-2.568011363207538,1.0
screen_2024,cutoff_1430,3,prior,50,248,-6.183266136423649,-10.438497374217459,-1.409699864405632,0.995
