state,h,period,candidate,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
cutoff_1500,1,opened_2025_2026,model,2040,52.543928117593325,70.53748746584813,71.38565045040751,94.54792380715715,0.6909967534551824,0.753921568627451,-0.428170914452685,-2.168175060830078
cutoff_1500,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1500,1,opened_2025_2026,adaptive,2040,55.34743797770242,70.53748746584813,77.88470854281879,94.54792380715715,0.6675063425034271,0.7573529411764706,0.6523664560303462,-2.168175060830078
cutoff_1520,1,screen_2024,model,1240,64.14465113685783,61.71417108209789,93.91451473729296,96.25607846658144,0.5671759042675019,0.7330645161290322,14.016821369789792,3.3385230784683944
cutoff_1520,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1520,1,screen_2024,adaptive,1240,54.524733376187804,61.71417108209789,89.6195904838077,96.25607846658144,0.5653148628100927,0.7338709677419355,4.063976458524139,3.3385230784683944
cutoff_1520,1,opened_2025_2026,model,2040,52.512425939147455,70.53748746584813,71.48976041211051,94.54792380715715,0.6892815501774558,0.7519607843137255,-0.5228066253102809,-2.168175060830078
cutoff_1520,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1520,1,opened_2025_2026,adaptive,2040,55.34889713869353,70.53748746584813,77.92779362869808,94.54792380715715,0.6658030308652757,0.7524509803921569,0.5993366815903952,-2.168175060830078
cutoff_1530,1,screen_2024,model,1240,64.1185349212201,61.71417108209789,93.80389890409052,96.25607846658144,0.5692709951705393,0.7354838709677419,14.820254013041795,3.3385230784683944
cutoff_1530,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1530,1,screen_2024,adaptive,1240,54.496566575193754,61.71417108209789,89.56913359291971,96.25607846658144,0.5671029018871043,0.7354838709677419,4.26483461933714,3.3385230784683944
cutoff_1530,1,opened_2025_2026,model,2040,52.45743032971475,70.53748746584813,71.39961638409146,94.54792380715715,0.6903616850586993,0.7519607843137255,-0.5097338004312991,-2.168175060830078
cutoff_1530,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1530,1,opened_2025_2026,adaptive,2040,55.322113813596246,70.53748746584813,77.8624776484996,94.54792380715715,0.6664754378509677,0.7558823529411764,0.557992448145239,-2.168175060830078
update_1630,1,screen_2024,model,1240,63.5434732186165,61.71417108209789,92.00731246399094,96.25607846658144,0.5619500377725483,0.739516129032258,9.80804772413114,3.3385230784683944
update_1630,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
update_1630,1,screen_2024,adaptive,1240,54.77673519096172,61.71417108209789,89.42331174408604,96.25607846658144,0.5603944243275477,0.7370967741935484,3.0117830471094753,3.3385230784683944
update_1630,1,opened_2025_2026,model,2040,54.27587427742943,70.53748746584813,72.92412246623408,94.54792380715715,0.657944346219332,0.7372549019607844,-0.06416584636267086,-2.168175060830078
update_1630,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
update_1630,1,opened_2025_2026,adaptive,2040,56.63183915262951,70.53748746584813,78.7209521068932,94.54792380715715,0.6325466720456512,0.736764705882353,0.8060687603444147,-2.168175060830078
update_1730,1,screen_2024,model,1240,63.728022637868825,61.71417108209789,91.55586350520873,96.25607846658144,0.5537520259120373,0.7387096774193549,11.238281650990947,3.3385230784683944
update_1730,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
update_1730,1,screen_2024,adaptive,1240,54.941390157202804,61.71417108209789,89.3238340303134,96.25607846658144,0.5527093991052536,0.7322580645161291,3.369341528824429,3.3385230784683944
update_1730,1,opened_2025_2026,model,2040,56.714743338367875,70.53748746584813,75.36949480624801,94.54792380715715,0.6228970086666165,0.7215686274509804,1.4949565265444853,-2.168175060830078
update_1730,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
update_1730,1,opened_2025_2026,adaptive,2040,58.37152225687177,70.53748746584813,80.11966282974188,94.54792380715715,0.6003030447167106,0.7215686274509804,1.7746225710635417,-2.168175060830078
early_1000,1,screen_2024,model,1240,162.34646042328455,61.71417108209789,394.9495077942183,96.25607846658144,0.2395413846837746,0.6193548387096774,30.623314119109846,3.3385230784683944
early_1000,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
early_1000,1,screen_2024,adaptive,1240,85.44984246191754,61.71417108209789,208.31279150073604,96.25607846658144,0.14859257262230832,0.5564516129032258,38.83517927799895,3.3385230784683944
early_1000,1,opened_2025_2026,model,2040,56.01306126935578,70.53748746584813,75.31947580754718,94.54792380715715,0.5887928987770338,0.707843137254902,4.089201176716513,-2.168175060830078
early_1000,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
early_1000,1,opened_2025_2026,adaptive,2040,68.70135434203112,70.53748746584813,92.41681427899599,94.54792380715715,0.02389418389751791,0.5171568627450981,-0.13885304438913643,-2.168175060830078
premarket,3,screen_2024,model,1240,131.7370622877105,87.70090688129015,173.56902233743867,127.54738026815949,0.04799771508025007,0.5612903225806452,67.05061490271872,7.522335051111977
premarket,3,screen_2024,prior,1240,87.70090688129015,87.70090688129015,127.54738026815949,127.54738026815949,-0.13272619639333946,0.532258064516129,3.0347087053867874,7.522335051111977
premarket,3,screen_2024,adaptive,1240,90.34396324434859,87.70090688129015,131.07735526335057,127.54738026815949,-0.064879652387273,0.5362903225806451,15.796116919684318,7.522335051111977
premarket,3,opened_2025_2026,model,2030,99.65620786076443,97.5144270054477,129.78256304921072,126.69288574309728,0.15396242732662987,0.5532019704433497,-4.78038554627541,-4.446400736548228
premarket,3,opened_2025_2026,prior,2030,97.5144270054477,97.5144270054477,126.69288574309728,126.69288574309728,-0.18456573415576716,0.4665024630541872,-1.6356676249330537,-4.446400736548228
premarket,3,opened_2025_2026,adaptive,2030,96.34475767566789,97.5144270054477,125.35551292127921,126.69288574309728,0.11943013410351584,0.5300492610837438,-2.4218471052686428,-4.446400736548228
cutoff_1030,3,screen_2024,model,1240,116.9517242814678,87.70090688129015,156.6676737932735,127.54738026815949,0.2752506384640032,0.5975806451612903,61.69088922865424,7.522335051111977
cutoff_1030,3,screen_2024,prior,1240,87.70090688129015,87.70090688129015,127.54738026815949,127.54738026815949,-0.13272619639333946,0.532258064516129,3.0347087053867874,7.522335051111977
cutoff_1030,3,screen_2024,adaptive,1240,83.685447827002,87.70090688129015,124.34179966643134,127.54738026815949,0.2721460830563043,0.592741935483871,17.69875383620365,7.522335051111977
cutoff_1030,3,opened_2025_2026,model,2030,85.74169456657563,97.5144270054477,110.81562485578496,126.69288574309728,0.5042457841804061,0.6719211822660098,1.9070748055994184,-4.446400736548228
cutoff_1030,3,opened_2025_2026,prior,2030,97.5144270054477,97.5144270054477,126.69288574309728,126.69288574309728,-0.18456573415576716,0.4665024630541872,-1.6356676249330537,-4.446400736548228
cutoff_1030,3,opened_2025_2026,adaptive,2030,88.6857930361032,97.5144270054477,116.01680590202551,126.69288574309728,0.48806154004630314,0.6625615763546798,-0.3803997391942694,-4.446400736548228
cutoff_1130,3,screen_2024,model,1240,114.42910788451934,87.70090688129015,153.3553854107351,127.54738026815949,0.31593414315477913,0.6225806451612903,57.40852879359387,7.522335051111977
cutoff_1130,3,screen_2024,prior,1240,87.70090688129015,87.70090688129015,127.54738026815949,127.54738026815949,-0.13272619639333946,0.532258064516129,3.0347087053867874,7.522335051111977
cutoff_1130,3,screen_2024,adaptive,1240,82.95900049775179,87.70090688129015,123.42694762971503,127.54738026815949,0.3130311609203701,0.6096774193548387,16.62816372743856,7.522335051111977
cutoff_1130,3,opened_2025_2026,model,2030,84.09043754885644,97.5144270054477,108.3823783236533,126.69288574309728,0.5296392039722041,0.6807881773399015,1.4741164337631956,-4.446400736548228
cutoff_1130,3,opened_2025_2026,prior,2030,97.5144270054477,97.5144270054477,126.69288574309728,126.69288574309728,-0.18456573415576716,0.4665024630541872,-1.6356676249330537,-4.446400736548228
cutoff_1130,3,opened_2025_2026,adaptive,2030,86.80956634284682,97.5144270054477,113.82604938430467,126.69288574309728,0.5116788133717491,0.6748768472906403,-0.9014519336822875,-4.446400736548228
cutoff_1230,3,screen_2024,model,1240,114.22842715126413,87.70090688129015,153.331343555432,127.54738026815949,0.32481642252083476,0.6403225806451613,57.40006541321193,7.522335051111977
cutoff_1230,3,screen_2024,prior,1240,87.70090688129015,87.70090688129015,127.54738026815949,127.54738026815949,-0.13272619639333946,0.532258064516129,3.0347087053867874,7.522335051111977
cutoff_1230,3,screen_2024,adaptive,1240,82.58965389141653,87.70090688129015,123.09894649571096,127.54738026815949,0.32147259377098814,0.6217741935483871,16.626047882343073,7.522335051111977
cutoff_1230,3,opened_2025_2026,model,2030,83.6653803655879,97.5144270054477,108.32351134878232,126.69288574309728,0.5375792515176906,0.6862068965517242,1.4130454709875861,-4.446400736548228
cutoff_1230,3,opened_2025_2026,prior,2030,97.5144270054477,97.5144270054477,126.69288574309728,126.69288574309728,-0.18456573415576716,0.4665024630541872,-1.6356676249330537,-4.446400736548228
cutoff_1230,3,opened_2025_2026,adaptive,2030,86.46236149711099,97.5144270054477,113.58214575776132,126.69288574309728,0.5196879452736279,0.6822660098522167,-0.7282447191708694,-4.446400736548228
cutoff_1330,3,screen_2024,model,1240,113.76390107396644,87.70090688129015,153.05648110842716,127.54738026815949,0.34750304984295904,0.6459677419354839,57.76135245317371,7.522335051111977
cutoff_1330,3,screen_2024,prior,1240,87.70090688129015,87.70090688129015,127.54738026815949,127.54738026815949,-0.13272619639333946,0.532258064516129,3.0347087053867874,7.522335051111977
cutoff_1330,3,screen_2024,adaptive,1240,81.88946011578894,87.70090688129015,122.56486794698043,127.54738026815949,0.34414098151225264,0.6282258064516129,16.716369642333515,7.522335051111977
cutoff_1330,3,opened_2025_2026,model,2030,83.00204411575538,97.5144270054477,107.13296781207104,126.69288574309728,0.5494063283673202,0.6862068965517242,1.1895176049225367,-4.446400736548228
