state,h,origin,n_train,n_query,selected_weight,mae_weight_0,mae_weight_0.25,mae_weight_0.5,mae_weight_0.75,mae_weight_1,last_target_maturity
cutoff_1030,3,2025-04-01,2460,295,0.25,100.78699832290053,95.06301868468482,97.57001643529854,105.82629996525975,118.1800636400992,2025-03-29
cutoff_1030,3,2025-07-01,2450,330,0.25,96.27626572478874,90.90923611447784,93.14488889741791,100.92194252273251,112.50648862983721,2025-06-28
cutoff_1030,3,2025-10-01,2450,325,0.25,92.67870191189192,87.04313105920721,87.81438976872327,93.500282077773,102.5386339386979,2025-09-27
cutoff_1030,3,2026-01-01,2450,270,0.25,92.6787405474862,87.59148545273663,88.20669924193942,93.33031936531764,101.60879355055839,2025-12-27
cutoff_1030,3,2026-04-01,2440,310,0.5,95.70519856441871,90.2204368603042,89.64570891561796,93.07870202809137,99.38874669971545,2026-03-28
cutoff_1030,3,2026-07-01,2450,230,0.5,97.5738032253484,90.58497798491015,87.91462765047996,89.01312291390263,93.07698062642963,2026-06-27
cutoff_1130,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1130,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1130,3,2023-07-01,560,330,0.25,93.42212840962254,90.31585053359446,94.32879261623448,102.61448172089192,113.19672321226383,2023-06-28
cutoff_1130,3,2023-10-01,890,320,0.25,101.74536667376903,96.40449660500585,101.08244838414986,111.25488432470407,126.68663497295171,2023-09-28
cutoff_1130,3,2024-01-01,1215,285,0.25,101.02444724653424,92.64062524046093,94.24506621697824,102.28281032964887,115.36153262157053,2023-12-29
cutoff_1130,3,2024-04-01,1500,300,0.25,91.77847373354489,83.71075923601212,85.51842768546717,94.6532070660727,108.97552241042425,2024-03-29
cutoff_1130,3,2024-07-01,1800,325,0.25,88.64144808282693,82.84436629152954,86.24084797526855,96.14352534828755,110.7935762233564,2024-06-28
cutoff_1130,3,2024-10-01,2130,330,0.25,89.83260307075624,83.95863442265333,88.14655833043794,99.87512585793984,116.15080172567109,2024-09-28
cutoff_1130,3,2025-01-01,2460,285,0.25,94.55731200945063,88.27251750607348,91.24033454454606,101.15057525624376,115.47622401231413,2024-12-29
cutoff_1130,3,2025-04-01,2460,295,0.25,100.78699832290053,93.98275356622499,95.44797663971337,103.11650724404923,114.94653316066547,2025-03-29
cutoff_1130,3,2025-07-01,2450,330,0.25,96.27626572478874,89.94280709927567,91.21989708052972,98.44760782704186,109.60705209311448,2025-06-28
cutoff_1130,3,2025-10-01,2450,325,0.5,92.67870191189192,86.197881885038,85.9827771403104,91.02684183128336,99.42599984444135,2025-09-27
cutoff_1130,3,2026-01-01,2450,270,0.5,92.6787405474862,86.85422732859699,86.72471423809222,91.39191309347726,99.21155262783961,2025-12-27
cutoff_1130,3,2026-04-01,2440,310,0.5,95.70519856441871,89.55821946936386,88.32896046599474,91.318410715339,97.32722432788697,2026-03-28
cutoff_1130,3,2026-07-01,2450,230,0.5,97.5738032253484,90.10124264768064,86.95517149966282,87.79502156689844,91.7378249299336,2026-06-27
cutoff_1230,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1230,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1230,3,2023-07-01,560,330,0.25,93.42212840962254,89.73088210453591,93.37658155646164,101.45688891607182,111.91621644784114,2023-06-28
cutoff_1230,3,2023-10-01,890,320,0.25,101.74536667376903,95.86150225505082,99.90560247036149,109.8098729086746,125.60066474082262,2023-09-28
cutoff_1230,3,2024-01-01,1215,285,0.25,101.02444724653424,91.74936140683243,92.70063601481539,100.76067048339813,114.49998996167034,2023-12-29
cutoff_1230,3,2024-04-01,1500,300,0.25,91.77847373354489,82.96851248027326,84.34960567352117,93.62328449635365,108.54241032304635,2024-03-29
cutoff_1230,3,2024-07-01,1800,325,0.25,88.64144808282693,82.14294848873351,85.15829263797342,95.12380740188686,110.12331841407325,2024-06-28
cutoff_1230,3,2024-10-01,2130,330,0.25,89.83260307075624,83.34977909470189,87.2365813526599,99.07053751533749,115.6946475397196,2024-09-28
cutoff_1230,3,2025-01-01,2460,285,0.25,94.55731200945063,87.7047624981308,90.3914553265965,100.38424356844405,115.0446754899784,2024-12-29
cutoff_1230,3,2025-04-01,2460,295,0.25,100.78699832290053,93.30192351800605,94.3921049268627,102.0442722916467,114.18141616202873,2025-03-29
cutoff_1230,3,2025-07-01,2450,330,0.25,96.27626572478874,89.43365763001663,90.51406054050055,97.83667407325511,109.45879565526845,2025-06-28
cutoff_1230,3,2025-10-01,2450,325,0.5,92.67870191189192,85.77179875771684,85.48869503304016,90.68186189747168,99.52253098408742,2025-09-27
cutoff_1230,3,2026-01-01,2450,270,0.5,92.6787405474862,86.56693417811563,86.32100440611384,90.95369881255426,98.95607395176465,2025-12-27
cutoff_1230,3,2026-04-01,2440,310,0.5,95.70519856441871,89.33895535293988,87.95389441116471,90.88298143848793,97.03814316011446,2026-03-28
cutoff_1230,3,2026-07-01,2450,230,0.5,97.5738032253484,89.93907181336968,86.67005955703216,87.46241682703372,91.52609881803733,2026-06-27
cutoff_1330,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1330,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1330,3,2023-07-01,560,330,0.25,93.42212840962254,86.14093354194137,87.80485522284773,95.25966542758121,106.18726956654682,2023-06-28
cutoff_1330,3,2023-10-01,890,320,0.25,101.74536667376903,93.29577371798844,96.31564075695223,107.01823194742232,124.36777239773635,2023-09-28
