candidate,year,currency,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
known_change_z_urgent_cap2,2024,KZT,1,248,69,2024-01-09,2024-12-28,1.0,0.5080645161290323,1.9682539682539684,1.9682539682539684,1.36056338028169,1.36056338028169,1.36056338028169,37.037905143017994,79.66070109275734
known_change_z_urgent_cap2,2024,KZT,3,248,69,2024-01-09,2024-12-28,0.7536231884057971,0.3346774193548387,2.251789767766719,2.251789767766719,1.36056338028169,1.36056338028169,1.36056338028169,59.05814096063132,96.93078357943209
known_change_z_urgent_cap2,2024,KZT,5,248,69,2024-01-09,2024-12-28,0.6231884057971014,0.2701612903225806,2.3067272333982265,2.3067272333982265,1.36056338028169,1.36056338028169,1.36056338028169,64.29771824360024,95.2206019157748
known_change_z_urgent_cap2,2024,KZT,10,248,69,2024-01-09,2024-12-28,0.5072463768115942,0.2056451612903226,2.4666098323387327,2.4666098323387327,1.36056338028169,1.36056338028169,1.36056338028169,59.91631047832096,87.43350181922217
known_change_z_urgent_cap2,2024,KZT,20,248,69,2024-01-09,2024-12-28,0.37681159420289856,0.1532258064516129,2.4591914569031275,2.4591914569031275,1.36056338028169,1.36056338028169,1.36056338028169,55.63728576658588,79.97778535507598
known_change_z_urgent_cap2,2025,TJS,1,247,70,2025-01-09,2025-12-30,1.0,0.5060728744939271,1.976,1.9759999999999998,1.3764044943820226,1.3764044943820226,1.3764044943820226,38.98974581818486,83.12717815934037
known_change_z_urgent_cap2,2025,TJS,3,247,70,2025-01-09,2025-12-30,0.7,0.340080971659919,2.058333333333333,2.058333333333333,1.3764044943820226,1.3764044943820226,1.3764044943820226,50.294055999536184,78.55100842077862
known_change_z_urgent_cap2,2025,TJS,5,247,70,2025-01-09,2025-12-30,0.5857142857142857,0.291497975708502,2.009325396825397,2.009325396825397,1.3764044943820226,1.3764044943820226,1.3764044943820226,54.76871883667864,75.3158556365746
known_change_z_urgent_cap2,2025,TJS,10,247,70,2025-01-09,2025-12-30,0.4142857142857143,0.20647773279352227,2.0064425770308123,2.0064425770308123,1.3764044943820226,1.3764044943820226,1.3764044943820226,60.224668096173836,66.04442983947308
known_change_z_urgent_cap2,2025,TJS,20,247,70,2025-01-09,2025-12-30,0.3142857142857143,0.145748987854251,2.1563492063492067,2.1563492063492067,1.3764044943820226,1.3764044943820226,1.3764044943820226,63.10776005346814,44.07125541533297
known_change_z_urgent_cap2,2025,UZS,1,247,71,2025-01-09,2025-12-30,1.0,0.46153846153846156,2.1666666666666665,2.1666666666666665,1.3960674157303372,1.3960674157303372,1.3960674157303372,37.12148109135218,86.33491935510148
known_change_z_urgent_cap2,2025,UZS,3,247,71,2025-01-09,2025-12-30,0.6338028169014085,0.2793522267206478,2.2688303735456214,2.268830373545621,1.3960674157303372,1.3960674157303372,1.3960674157303372,55.759752727001334,81.47229654310786
known_change_z_urgent_cap2,2025,UZS,5,247,71,2025-01-09,2025-12-30,0.4507042253521127,0.20242914979757085,2.226478873239437,2.2264788732394365,1.3960674157303372,1.3960674157303372,1.3960674157303372,57.34392604594816,65.6619183643771
known_change_z_urgent_cap2,2025,UZS,10,247,71,2025-01-09,2025-12-30,0.2676056338028169,0.1214574898785425,2.2032863849765256,2.203286384976526,1.3960674157303372,1.3960674157303372,1.3960674157303372,64.01192654940888,42.4696960216804
known_change_z_urgent_cap2,2025,UZS,20,247,71,2025-01-09,2025-12-30,0.19718309859154928,0.08502024291497975,2.3192488262910795,2.31924882629108,1.3960674157303372,1.3960674157303372,1.3960674157303372,72.56817230724018,0.4952309322214639
known_change_z_urgent_cap2,2025,KGS,1,247,69,2025-01-09,2025-12-30,1.0,0.4291497975708502,2.330188679245283,2.330188679245283,1.356741573033708,1.356741573033708,1.356741573033708,32.909631268302036,68.93786274258755
known_change_z_urgent_cap2,2025,KGS,3,247,69,2025-01-09,2025-12-30,0.6376811594202898,0.2591093117408907,2.4610507246376807,2.4610507246376807,1.356741573033708,1.356741573033708,1.356741573033708,47.49948653525986,61.06435121653391
known_change_z_urgent_cap2,2025,KGS,5,247,69,2025-01-09,2025-12-30,0.5072463768115942,0.20647773279352227,2.45666382495027,2.45666382495027,1.356741573033708,1.356741573033708,1.356741573033708,52.53301037434862,50.50106752201824
known_change_z_urgent_cap2,2025,KGS,10,247,69,2025-01-09,2025-12-30,0.30434782608695654,0.13360323886639677,2.2779973649538867,2.2779973649538867,1.356741573033708,1.356741573033708,1.356741573033708,57.21924037996539,20.486042719155172
known_change_z_urgent_cap2,2025,KGS,20,247,69,2025-01-09,2025-12-30,0.2028985507246377,0.08906882591093117,2.277997364953887,2.277997364953887,1.356741573033708,1.356741573033708,1.356741573033708,57.45311504548418,-36.71779757454373
known_change_z_urgent_cap2,2025,AMD,1,247,70,2025-01-09,2025-12-30,1.0,0.46153846153846156,2.1666666666666665,2.1666666666666665,1.3764044943820226,1.3764044943820226,1.3764044943820226,37.125267658910964,72.47894490522152
known_change_z_urgent_cap2,2025,AMD,3,247,70,2025-01-09,2025-12-30,0.6428571428571429,0.2834008097165992,2.2683673469387755,2.2683673469387755,1.3764044943820226,1.3764044943820226,1.3764044943820226,50.152412401595974,64.07022097697181
known_change_z_urgent_cap2,2025,AMD,5,247,70,2025-01-09,2025-12-30,0.4857142857142857,0.22267206477732793,2.1812987012987013,2.1812987012987013,1.3764044943820226,1.3764044943820226,1.3764044943820226,52.81460998016376,54.58475739982123
known_change_z_urgent_cap2,2025,AMD,10,247,70,2025-01-09,2025-12-30,0.34285714285714286,0.145748987854251,2.3523809523809525,2.3523809523809525,1.3764044943820226,1.3764044943820226,1.3764044943820226,57.57881517042938,30.801715479607484
known_change_z_urgent_cap2,2025,AMD,20,247,70,2025-01-09,2025-12-30,0.21428571428571427,0.08906882591093117,2.405844155844156,2.405844155844156,1.3764044943820226,1.3764044943820226,1.3764044943820226,59.92911835468559,-16.79712394983696
known_change_z_urgent_cap2,2025,KZT,1,247,71,2025-01-09,2025-12-30,1.0,0.46558704453441296,2.1478260869565218,2.1478260869565218,1.3960674157303372,1.3960674157303372,1.3960674157303372,41.14576003367103,86.74389625050009
known_change_z_urgent_cap2,2025,KZT,3,247,71,2025-01-09,2025-12-30,0.647887323943662,0.26720647773279355,2.424669227486129,2.424669227486129,1.3960674157303372,1.3960674157303372,1.3960674157303372,55.10733959373065,70.54035413646102
known_change_z_urgent_cap2,2025,KZT,5,247,71,2025-01-09,2025-12-30,0.49295774647887325,0.20242914979757085,2.435211267605634,2.435211267605634,1.3960674157303372,1.3960674157303372,1.3960674157303372,58.469042221986996,58.81275197088978
known_change_z_urgent_cap2,2025,KZT,10,247,71,2025-01-09,2025-12-30,0.3380281690140845,0.12955465587044535,2.6091549295774645,2.609154929577465,1.3960674157303372,1.3960674157303372,1.3960674157303372,60.66491448530749,26.18940732371919
known_change_z_urgent_cap2,2025,KZT,20,247,71,2025-01-09,2025-12-30,0.18309859154929578,0.0728744939271255,2.5125195618153366,2.5125195618153366,1.3960674157303372,1.3960674157303372,1.3960674157303372,66.94219989260694,-27.148976175106064
known_change_z_urgent_cap2,2026,TJS,1,161,48,2026-01-12,2026-08-31,1.0,0.5217391304347826,1.9166666666666667,1.916666666666667,1.4482758620689653,1.4482758620689653,1.4482758620689653,28.565873052693814,73.07072075147254
known_change_z_urgent_cap2,2026,TJS,3,159,47,2026-01-12,2026-08-27,0.8085106382978723,0.39622641509433965,2.0405268490374873,2.040526849037487,1.442982456140351,1.442982456140351,1.442982456140351,45.317473856097564,92.25799312090385
known_change_z_urgent_cap2,2026,TJS,5,157,46,2026-01-12,2026-08-25,0.6086956521739131,0.3184713375796178,1.9113043478260872,1.911304347826087,1.424778761061947,1.424778761061947,1.424778761061947,52.23447767391066,100.6240477058842
known_change_z_urgent_cap2,2026,TJS,10,152,45,2026-01-12,2026-08-18,0.5111111111111111,0.26973684210526316,1.8948509485094849,1.894850948509485,1.4383561643835616,1.4383561643835616,1.4383561643835616,59.98981800971736,123.39844359013732
known_change_z_urgent_cap2,2026,TJS,20,142,41,2026-01-12,2026-08-04,0.3902439024390244,0.21830985915492956,1.78756884343037,1.7875688434303698,1.4000000000000001,1.4000000000000001,1.4000000000000001,99.5601967486133,154.09725955177103
known_change_z_urgent_cap2,2026,UZS,1,161,50,2026-01-12,2026-08-31,1.0,0.5838509316770186,1.7127659574468086,1.7127659574468086,1.5086206896551724,1.5086206896551724,1.5086206896551724,24.138010589445635,73.33662619416361
known_change_z_urgent_cap2,2026,UZS,3,159,49,2026-01-12,2026-08-27,0.8163265306122449,0.4276729559748428,1.9087635054021608,1.9087635054021608,1.5043859649122808,1.5043859649122808,1.5043859649122808,36.84656272306998,96.77862508163986
known_change_z_urgent_cap2,2026,UZS,5,157,48,2026-01-12,2026-08-25,0.7083333333333334,0.3821656050955414,1.8534722222222222,1.853472222222222,1.4867256637168142,1.4867256637168142,1.4867256637168142,43.098511502735484,108.67054777336885
known_change_z_urgent_cap2,2026,UZS,10,152,47,2026-01-12,2026-08-18,0.6170212765957447,0.3223684210526316,1.9140251845419018,1.9140251845419018,1.5022831050228311,1.5022831050228311,1.5022831050228311,48.833403945397905,135.74122399335013
known_change_z_urgent_cap2,2026,UZS,20,142,43,2026-01-12,2026-08-04,0.5116279069767442,0.2676056338028169,1.9118727050183602,1.91187270501836,1.4682926829268292,1.4682926829268292,1.4682926829268292,92.8587476938043,179.734475410282
known_change_z_urgent_cap2,2026,KGS,1,161,47,2026-01-12,2026-08-31,1.0,0.4906832298136646,2.037974683544304,2.037974683544304,1.4181034482758619,1.4181034482758619,1.4181034482758619,28.94886536108578,74.75281584923927
known_change_z_urgent_cap2,2026,KGS,3,159,46,2026-01-12,2026-08-27,0.8478260869565217,0.3836477987421384,2.2099073414112613,2.2099073414112613,1.4122807017543861,1.4122807017543861,1.4122807017543861,46.11011585040792,97.58526785442842
known_change_z_urgent_cap2,2026,KGS,5,157,45,2026-01-12,2026-08-25,0.6444444444444445,0.3057324840764331,2.1078703703703705,2.1078703703703705,1.3938053097345133,1.3938053097345133,1.3938053097345133,53.833962059082154,107.90031079003525
known_change_z_urgent_cap2,2026,KGS,10,152,44,2026-01-12,2026-08-18,0.5454545454545454,0.2631578947368421,2.0727272727272728,2.0727272727272728,1.406392694063927,1.406392694063927,1.406392694063927,59.91991723068529,132.81419216764002
known_change_z_urgent_cap2,2026,KGS,20,142,40,2026-01-12,2026-08-04,0.425,0.22535211267605634,1.8859374999999998,1.8859374999999998,1.3658536585365855,1.3658536585365855,1.3658536585365855,97.71926918023546,161.7737921691957
known_change_z_urgent_cap2,2026,AMD,1,161,50,2026-01-12,2026-08-31,1.0,0.5652173913043478,1.7692307692307694,1.7692307692307692,1.5086206896551724,1.5086206896551724,1.5086206896551724,28.125968964297854,74.17185565116786
known_change_z_urgent_cap2,2026,AMD,3,159,49,2026-01-12,2026-08-27,0.8163265306122449,0.4088050314465409,1.9968602825745683,1.996860282574568,1.5043859649122808,1.5043859649122808,1.5043859649122808,42.52466914056614,94.98119697682772
known_change_z_urgent_cap2,2026,AMD,5,157,48,2026-01-12,2026-08-25,0.625,0.33121019108280253,1.8870192307692308,1.8870192307692308,1.4867256637168142,1.4867256637168142,1.4867256637168142,49.60541400311532,105.35585673149058
known_change_z_urgent_cap2,2026,AMD,10,152,47,2026-01-12,2026-08-18,0.5319148936170213,0.28289473684210525,1.880257298367145,1.880257298367145,1.5022831050228311,1.5022831050228311,1.5022831050228311,55.95360171029485,132.11864423057872
known_change_z_urgent_cap2,2026,AMD,20,142,43,2026-01-12,2026-08-04,0.4418604651162791,0.24647887323943662,1.7926910299003322,1.7926910299003322,1.4682926829268292,1.4682926829268292,1.4682926829268292,92.273212096985,174.87407789803027
known_change_z_urgent_cap2,2026,KZT,1,161,49,2026-01-12,2026-08-31,1.0,0.5962732919254659,1.6770833333333333,1.6770833333333333,1.4784482758620687,1.4784482758620687,1.4784482758620687,38.303758935332425,97.4740048393186
known_change_z_urgent_cap2,2026,KZT,3,159,49,2026-01-12,2026-08-27,0.7346938775510204,0.42138364779874216,1.743527261650929,1.743527261650929,1.5043859649122808,1.5043859649122808,1.5043859649122808,51.74098681416025,113.52373678957382
known_change_z_urgent_cap2,2026,KZT,5,157,48,2026-01-12,2026-08-25,0.6041666666666666,0.3630573248407643,1.664108187134503,1.664108187134503,1.4867256637168142,1.4867256637168142,1.4867256637168142,60.57035153121939,132.70844922889384
known_change_z_urgent_cap2,2026,KZT,10,152,47,2026-01-12,2026-08-18,0.5319148936170213,0.3223684210526316,1.6500217108119843,1.6500217108119843,1.5022831050228311,1.5022831050228311,1.5022831050228311,67.86637157677359,171.37951811018786
known_change_z_urgent_cap2,2026,KZT,20,142,43,2026-01-12,2026-08-04,0.4418604651162791,0.2605633802816901,1.695788812067882,1.695788812067882,1.4682926829268292,1.4682926829268292,1.4682926829268292,112.14975001582522,241.2578767154463
