origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,last_effective_mature20,query_first,query_last,local_counts,n_risk,n_failures,risk_hash
2024-04-01,margin_q25,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,,,,
2024-04-01,margin_ridge_local,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,"{""AMD"": 285, ""KGS"": 283, ""KZT"": 274, ""TJS"": 292, ""UZS"": 279}",,,
2024-07-01,hist,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,,,,
2024-07-01,recent_hist,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,,,,
2024-07-01,logit,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,,,,
2024-07-01,local_logit,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,"{""AMD"": 319, ""KGS"": 312, ""KZT"": 306, ""TJS"": 320, ""UZS"": 307}",,,
2024-07-01,hazard_hist,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,,4405.0,974.0,28aab28282766b45767f498d66b5eeb532dba5d107ed1db82cf3dfe18e504451
2024-07-01,hazard_logit,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,,4405.0,974.0,28aab28282766b45767f498d66b5eeb532dba5d107ed1db82cf3dfe18e504451
2024-07-01,margin_q25,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,,,,
2024-07-01,margin_ridge_local,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,2024-06-27,3055,3384,"{""AMD"": 319, ""KGS"": 312, ""KZT"": 306, ""TJS"": 320, ""UZS"": 307}",,,
2024-10-01,hist,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,,,,
2024-10-01,recent_hist,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,,,,
2024-10-01,logit,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,,,,
2024-10-01,local_logit,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,"{""AMD"": 352, ""KGS"": 352, ""KZT"": 336, ""TJS"": 355, ""UZS"": 342}",,,
2024-10-01,hazard_hist,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,,4843.0,1110.0,f434678969b11c3fb193070692a0499490335ccdc88e96921fcc766735209f96
2024-10-01,hazard_logit,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,,4843.0,1110.0,f434678969b11c3fb193070692a0499490335ccdc88e96921fcc766735209f96
2024-10-01,margin_q25,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,,,,
2024-10-01,margin_ridge_local,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,2024-09-26,3385,3709,"{""AMD"": 352, ""KGS"": 352, ""KZT"": 336, ""TJS"": 355, ""UZS"": 342}",,,
2025-01-01,hist,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,,,,
2025-01-01,recent_hist,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,,,,
2025-01-01,logit,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,,,,
2025-01-01,local_logit,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,"{""AMD"": 397, ""KGS"": 396, ""KZT"": 373, ""TJS"": 400, ""UZS"": 385}",,,
2025-01-01,hazard_hist,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,,5532.0,1208.0,338b428784eb23d673cbc76caa9f57b1d35f0886e6329b0f648cffa87edba772
2025-01-01,hazard_logit,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,,5532.0,1208.0,338b428784eb23d673cbc76caa9f57b1d35f0886e6329b0f648cffa87edba772
2025-01-01,margin_q25,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,,,,
2025-01-01,margin_ridge_local,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,2024-12-27,3710,3999,"{""AMD"": 397, ""KGS"": 396, ""KZT"": 373, ""TJS"": 400, ""UZS"": 385}",,,
