scenario,clock,h,brier_hierarchical_beta,brier_identity,logloss_hierarchical_beta,logloss_identity,ece_hierarchical_beta,ece_identity,max_brier_ci_high,brier_delta,logloss_delta,ece_delta,pass
calendar_assumed_replay,12:45,20,0.11680429767342482,0.11761612810734255,0.39380949554446915,0.3935752544573411,0.03325431244022446,0.0316281361789471,0.0016618349868231892,-0.0008118304339177346,0.00023424108712805092,0.0016261762612773609,False
calendar_assumed_replay,13:45,5,0.1767533989688189,0.17064623218355038,0.5333917487253644,0.5179243841247875,0.07054512570750002,0.049490045419064994,0.01067416383108679,0.006107166785268514,0.01546736460057696,0.021055080288435023,False
calendar_assumed_replay,13:45,10,0.14297867483761964,0.14051287739273496,0.4568717602093401,0.4489168991486622,0.06683470601880595,0.061096926775824616,0.005524527877524554,0.0024657974448846764,0.007954861060677942,0.005737779242981335,False
calendar_assumed_replay,13:45,20,0.11612826630335828,0.11712235216117395,0.39123380747155734,0.39149584968715967,0.03760514901616748,0.03141475375351321,0.001343656614848788,-0.0009940858578156714,-0.00026204221560233165,0.006190395262654275,False
calendar_assumed_replay,14:45,5,0.17548005581659748,0.17013212277371298,0.5296940865798242,0.5163294562972917,0.07203425579562693,0.0497276621252772,0.010189463247843365,0.005347933042884501,0.013364630282532541,0.022306593670349734,False
calendar_assumed_replay,14:45,10,0.14194337544011773,0.13998950723575665,0.453503661213067,0.4472992512019222,0.06339190860734838,0.060736858533893955,0.0049664249640999246,0.001953868204361081,0.006204410011144801,0.002655050073454422,False
calendar_assumed_replay,14:45,20,0.11546616735848954,0.11682219225255243,0.3884934411276206,0.39013809669263905,0.03218751126641014,0.031042854593878615,0.0012304042100634651,-0.0013560248940628905,-0.0016446555650184713,0.0011446566725315244,False
calendar_assumed_replay,15:10,5,0.17474175334150166,0.16943384078391702,0.5276161373396203,0.5121131916587188,0.06865905063507168,0.048162267451971524,0.009940152975754941,0.005307912557584643,0.015502945680901492,0.02049678318310015,False
calendar_assumed_replay,15:10,10,0.14121013362509796,0.1390241285518243,0.45128552914805403,0.44211426613733484,0.06126938551037312,0.060196710427126106,0.004925127786377933,0.002186005073273656,0.009171263010719188,0.0010726750832470155,False
calendar_assumed_replay,15:10,20,0.11482443170531624,0.11573440001112661,0.3864934556903278,0.385663044076101,0.035509398450795746,0.031575012584157576,0.0016874297104680822,-0.0009099683058103741,0.0008304116142267559,0.0039343858666381695,False
calendar_assumed_replay,15:25,5,0.17451204070401596,0.1691478674974943,0.5269930435567616,0.5112347141151194,0.06808248672418653,0.0468973148452241,0.010139794031767662,0.005364173206521661,0.015758329441642127,0.021185171878962426,False
calendar_assumed_replay,15:25,10,0.14098709961925054,0.13875821743383585,0.45062498906810905,0.441395315245171,0.05960540772789752,0.059848253944773215,0.004776333220508782,0.002228882185414699,0.009229673822938045,-0.0002428462168756959,False
calendar_assumed_replay,15:25,20,0.11471899593649951,0.11559740012808753,0.3861159659763261,0.3852979292391892,0.03566736091646591,0.03156714423630308,0.0018527992104082974,-0.0008784041915880225,0.0008180367371368735,0.004100216680162833,False
calendar_assumed_replay,15:45,5,0.17431676402643348,0.16900982623566962,0.5264250135302289,0.5108149239920232,0.06697670114449937,0.045515572826626646,0.010022806637649873,0.005306937790763855,0.01561008953820564,0.021461128317872724,False
calendar_assumed_replay,15:45,10,0.14089384009447128,0.13870226769834643,0.4502661987159497,0.44112399810922304,0.059087038392569464,0.06004507364882845,0.005047499968212477,0.002191572396124858,0.009142200606726658,-0.0009580352562589822,False
calendar_assumed_replay,15:45,20,0.11467215945711072,0.11559408523676269,0.3858687511241306,0.3851716670705343,0.035852262402030766,0.03173654225936399,0.0017024746292024556,-0.000921925779651972,0.0006970840535963085,0.0041157201426667775,False
