scenario,clock,h,model,bin,n,predicted,actual
calendar_assumed_replay,13:45,5,identity,8,7,0.8451989322236855,1.0
calendar_assumed_replay,13:45,5,identity,9,5,0.9963455532569514,0.6
calendar_assumed_replay,13:45,5,global_platt,0,1,0.09532367961160486,0.0
calendar_assumed_replay,13:45,5,global_platt,1,224,0.16975014770003924,0.026785714285714284
calendar_assumed_replay,13:45,5,global_platt,2,1220,0.2619042631307379,0.1737704918032787
calendar_assumed_replay,13:45,5,global_platt,3,1328,0.33232577587226647,0.31099397590361444
calendar_assumed_replay,13:45,5,global_platt,4,196,0.43959845705288725,0.6632653061224489
calendar_assumed_replay,13:45,5,global_platt,5,37,0.5282861978947686,0.5945945945945946
calendar_assumed_replay,13:45,5,global_platt,6,4,0.610895385263441,1.0
calendar_assumed_replay,13:45,5,global_platt,8,1,0.8934752897133311,1.0
calendar_assumed_replay,13:45,5,global_platt,9,4,0.9033977115759617,0.5
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,0,55,0.07616717311892106,0.0
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,1,352,0.15728285856252408,0.04261363636363636
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,2,788,0.25627119444292346,0.17893401015228427
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,3,1211,0.34618846278949594,0.26094137076796037
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,4,361,0.4405097377060963,0.43490304709141275
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,5,153,0.5477880605420626,0.6535947712418301
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,6,64,0.6442190042467487,0.578125
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,7,22,0.7238720312955225,0.7727272727272727
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,8,4,0.8134638037937603,1.0
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,9,5,0.9888790460997147,0.6
calendar_assumed_replay,13:45,5,hierarchical_beta,0,61,0.0762641062250608,0.0
calendar_assumed_replay,13:45,5,hierarchical_beta,1,364,0.16216759382447615,0.07967032967032966
calendar_assumed_replay,13:45,5,hierarchical_beta,2,1106,0.2554067459838478,0.19710669077757687
calendar_assumed_replay,13:45,5,hierarchical_beta,3,1080,0.3424562935305588,0.2851851851851852
calendar_assumed_replay,13:45,5,hierarchical_beta,4,348,0.4429430943996328,0.5718390804597702
calendar_assumed_replay,13:45,5,hierarchical_beta,5,56,0.5210003900677223,0.6428571428571429
calendar_assumed_replay,14:45,5,identity,0,197,0.06690911150126837,0.02030456852791878
calendar_assumed_replay,14:45,5,identity,1,529,0.15239418077662387,0.1001890359168242
calendar_assumed_replay,14:45,5,identity,2,955,0.25703656661811236,0.218848167539267
calendar_assumed_replay,14:45,5,identity,3,838,0.3410808013302769,0.28997613365155134
calendar_assumed_replay,14:45,5,identity,4,228,0.44400308705158853,0.4868421052631579
calendar_assumed_replay,14:45,5,identity,5,138,0.5483859504124219,0.6159420289855072
calendar_assumed_replay,14:45,5,identity,6,71,0.6377650597647995,0.676056338028169
calendar_assumed_replay,14:45,5,identity,7,45,0.7478767699789379,0.5555555555555556
calendar_assumed_replay,14:45,5,identity,8,9,0.8460010177376325,1.0
calendar_assumed_replay,14:45,5,identity,9,5,0.9972981669242349,0.6
calendar_assumed_replay,14:45,5,global_platt,0,8,0.0921171274526484,0.0
calendar_assumed_replay,14:45,5,global_platt,1,276,0.16641589466428333,0.018115942028985508
calendar_assumed_replay,14:45,5,global_platt,2,1190,0.26115079697806914,0.1781512605042017
calendar_assumed_replay,14:45,5,global_platt,3,1260,0.33212338565829974,0.3142857142857143
calendar_assumed_replay,14:45,5,global_platt,4,218,0.4392914929543925,0.6330275229357798
calendar_assumed_replay,14:45,5,global_platt,5,53,0.5387986360989439,0.5849056603773585
calendar_assumed_replay,14:45,5,global_platt,6,5,0.6371847156638275,1.0
