origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,score_min,score_mean,score_max,n_groups_total,n_groups_kept,n_group_rows,target_kind,group_kind,rolling_days,loss,fallback
2024-04-01,rank_qtr_mean_full_yeti,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,0.37733633475393685,0.473019295608246,0.7455563851867325,45,45,1413,mean,quarter,,YetiRankPairwise,False
2024-07-01,rank_qtr_mean_full_pair,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,0.017573065153257322,0.4454263164949396,0.9761029849873085,50,50,1564,mean,quarter,,PairLogit,False
2024-07-01,rank_qtr_mean_roll3_pair,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,0.017573065153257322,0.4454263164949396,0.9761029849873085,50,50,1564,mean,quarter,1095.0,PairLogit,False
2024-07-01,rank_month_mean_full_pair,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,0.006435164321366319,0.5204346591183937,0.987310101861178,145,145,1564,mean,month,,PairLogit,False
2024-07-01,rank_qtr_y20_full_pair,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,0.006447855676527392,0.44029228955259553,0.9913260727405829,50,48,1533,y20,quarter,,PairLogit,False
2024-07-01,rank_qtr_mean_full_yeti,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,0.35962596223325016,0.4726375725896123,0.727685218341459,50,50,1564,mean,quarter,,YetiRankPairwise,False
2024-10-01,rank_qtr_mean_full_pair,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,0.010540926269857661,0.2466435501242068,0.8687941064783803,55,55,1737,mean,quarter,,PairLogit,False
2024-10-01,rank_qtr_mean_roll3_pair,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,0.010540926269857661,0.2466435501242068,0.8687941064783803,55,55,1737,mean,quarter,1095.0,PairLogit,False
2024-10-01,rank_month_mean_full_pair,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,0.003467531365931783,0.23229881397548446,0.9623503094732435,160,160,1737,mean,month,,PairLogit,False
2024-10-01,rank_qtr_y20_full_pair,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,0.003896691188710165,0.21755002730062506,0.9631661656487428,55,55,1737,y20,quarter,,PairLogit,False
2024-10-01,rank_qtr_mean_full_yeti,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,0.3430264883134238,0.44077150665960674,0.7208302297512815,55,55,1737,mean,quarter,,YetiRankPairwise,False
2025-01-01,rank_qtr_mean_full_pair,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,0.03424061480548033,0.4075342805722522,0.9655814604136921,60,60,1951,mean,quarter,,PairLogit,False
2025-01-01,rank_qtr_mean_roll3_pair,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,0.03424061480548033,0.4075342805722522,0.9655814604136921,60,60,1951,mean,quarter,1095.0,PairLogit,False
2025-01-01,rank_month_mean_full_pair,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,0.09058288515162692,0.6292592182234957,0.9928399928084174,175,175,1951,mean,month,,PairLogit,False
2025-01-01,rank_qtr_y20_full_pair,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,0.12172797451964257,0.5681057287800187,0.9916075085845465,60,60,1951,y20,quarter,,PairLogit,False
