horizon,case_lift,pooled_lift,base_rate,hit_rate,n_signals,frequency,future_benefit_bps,symmetric_benefit_bps,candidate
5,1.5935584075860378,1.593897174254317,0.3439327485380117,0.5480769230769231,312,1.3317073170731708,85.16256146131501,31.291415840927154,global_quantile_w25
10,1.58277980322629,1.582195063503475,0.2814749212775528,0.44551282051282054,312,1.3317073170731708,99.00168815242984,34.4084359264754,global_quantile_w25
20,1.574042112530204,1.5749336870026527,0.20362404408457038,0.32051282051282054,312,1.3317073170731708,115.0626527764554,39.46671691647952,global_quantile_w25
1,1.5340480591497228,1.5340102523659307,0.5561266447368421,0.853125,320,1.3658536585365855,61.52213206589515,13.387995505277908,global_quantile_w50
3,1.6384354789036033,1.6370350109409189,0.4005345394736842,0.65625,320,1.3658536585365855,77.17794752341815,24.732480442601066,global_quantile_w50
5,1.6108893501516846,1.608577806122449,0.3433662280701754,0.553125,320,1.3658536585365855,82.39739257843026,27.872408673951192,global_quantile_w50
10,1.56796566356143,1.564836448598131,0.2810169956140351,0.440625,320,1.3658536585365855,98.13271374634746,33.41302602678092,global_quantile_w50
20,1.5501851228542578,1.550915948275862,0.2036047149122807,0.315625,320,1.3658536585365855,118.10485269033738,41.79498808863444,global_quantile_w50
1,1.443853288761241,1.4438532887612412,0.556140350877193,0.8029850746268656,335,1.4298780487804879,55.99468895902994,10.870467028545374,global_quantile_w100
3,1.5579676976394425,1.5562885789869034,0.40044514270751513,0.6238805970149254,335,1.4298780487804879,70.38194138087991,21.391033063994826,global_quantile_w100
5,1.5480622520598109,1.5452330185805667,0.34323121235925635,0.5313432835820896,335,1.4298780487804879,74.69811966219922,24.843285726767945,global_quantile_w100
10,1.4885282596530496,1.4841679453201284,0.28075412411626083,0.417910447761194,335,1.4298780487804879,89.82075188269606,31.384067611809826,global_quantile_w100
20,1.4805194805194806,1.4814719505918683,0.20363969625556427,0.30149253731343284,335,1.4298780487804879,115.97325007646808,43.1709509514781,global_quantile_w100
1,1.5569910617765708,1.5575577898990327,0.5563427800269906,0.8662207357859532,299,1.276219512195122,62.88865957726616,15.386728044504588,global_extra_w10
3,1.650844730490748,1.65189581610474,0.4011324297365488,0.6622073578595318,299,1.276219512195122,81.92803253029118,29.013468565445173,global_extra_w10
5,1.622879549910493,1.6242918572111116,0.3441588922138122,0.5585284280936454,299,1.276219512195122,86.90322452467692,31.141511975365464,global_extra_w10
10,1.6016234779893845,1.6034757603225704,0.2819045942615737,0.451505016722408,299,1.276219512195122,101.9926411093027,32.724644890011085,global_extra_w10
20,1.6086393088552915,1.6105408834044517,0.2037493399049463,0.3277591973244147,299,1.276219512195122,117.25070910441215,37.754903929781726,global_extra_w10
1,1.5616845066020784,1.5607333604022864,0.5558016327948584,0.8679867986798679,303,1.2932926829268294,63.26569466636917,15.868194313245274,global_extra_w25
3,1.6566532914000651,1.6547869228936023,0.4004255688726768,0.6633663366336634,303,1.2932926829268294,82.55619957140244,30.115941902544286,global_extra_w25
5,1.643814824184164,1.6412406546777125,0.3433211742226854,0.5643564356435643,303,1.2932926829268294,88.02399861878638,32.61456473559524,global_extra_w25
