model,currency,year,feature,min,mean,max
local_logit,UZS,2023,extra,-0.1234245328589159,0.07429980237985355,0.2122585956406369
local_logit,UZS,2023,hist,0.117038369978182,0.22068226389976264,0.2999707199127075
local_logit,UZS,2023,survival_hist,-0.2052659480119896,-0.1289521382221747,-0.0849864839311609
local_logit,UZS,2023,survival_local,-0.1165311132267892,0.013704295552597626,0.3300885953630711
local_logit,UZS,2023,survival_logit,0.027282717237574,0.11591398085925632,0.2248510430205668
local_logit,UZS,2024,cny,0.6001820883375373,0.6342416180739582,0.6590286668696481
local_logit,UZS,2024,extra,0.114331490353924,0.1383470572227465,0.1709661734113079
local_logit,UZS,2024,hist,0.3604385537689743,0.39849092803838126,0.482910258994418
local_logit,UZS,2024,survival_hist,-0.1627966099877384,-0.13622552718182374,-0.09194221941213
local_logit,UZS,2024,survival_local,-0.2515802955888422,-0.20657068715447802,-0.1363030748829213
local_logit,UZS,2024,survival_logit,-0.0253224465175234,0.022451496575592058,0.0470538794419017
local_logit,UZS,2025,cny,0.5917329375669359,0.6420032005281799,0.6800211305963043
local_logit,UZS,2025,extra,0.1250068835390315,0.2027478332855749,0.257144654994641
local_logit,UZS,2025,hist,0.3731303635523002,0.39199916790566697,0.4383388674294844
local_logit,UZS,2025,survival_hist,-0.1840315520616849,-0.15341741952392934,-0.1222285875202963
local_logit,UZS,2025,survival_local,-0.2800195717018712,-0.24128187313932667,-0.1899819519641288
local_logit,UZS,2025,survival_logit,0.0269218996626919,0.04107277776912032,0.0704844191226955
local_logit,UZS,2026,cny,0.574038493216484,0.6072621715934469,0.6319219864204233
local_logit,UZS,2026,extra,0.1978279225820031,0.221390419060714,0.259051175384734
local_logit,UZS,2026,hist,0.3854324970395104,0.4043594932968706,0.416736211735738
local_logit,UZS,2026,survival_hist,-0.1314014195658396,-0.11864264171286891,-0.104106088237366
local_logit,UZS,2026,survival_local,-0.3090032173044374,-0.2885658470282077,-0.2783190477645882
local_logit,UZS,2026,survival_logit,0.0260699735977534,0.04112642442206288,0.0788804858193971
logit_context730,ALL,2022,announced_range20,-0.6885059669746109,-0.5221191386682501,-0.3747032884870003
