candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1130,10,2023-01-01,1015,193,0.19856330596125987,280,False,-1.6647030030485648,"[0.30045994827870837, 0.08186387924072479, -0.0820141542734233, -0.11315881236286561, 0.2097975328102271, -0.09321718737805823]",2022-12-29,2022-02-24
cutoff_1130,10,2023-04-01,1295,302,0.24575627022802324,305,False,-1.3261859058324974,"[0.2817704858788694, -0.040340113065021124, 0.00459542542482932, -0.14365108958365852, 0.23796501849897794, -0.05408851056085503]",2023-03-29,2022-02-24
cutoff_1130,10,2023-07-01,1600,421,0.27873964249736455,330,False,-1.1549312250461754,"[0.32430241842352053, -0.004586157574153612, 0.009902633763962502, -0.09859217830846727, 0.198739026688994, -0.09494099955330906]",2023-06-28,2022-02-24
cutoff_1130,10,2023-10-01,1930,532,0.2904968424097967,320,False,-1.071123140862422,"[0.32749394797846726, -0.0243576356965635, -0.013534430213398492, -0.046632673494324386, 0.19610234069753868, -0.1147468732564714]",2023-09-28,2022-02-24
cutoff_1130,10,2024-01-01,2255,571,0.2590732527351714,285,False,-1.2267175469998846,"[0.3615919929434475, -0.020167827923825245, -0.009706035774566722, -0.006966479468544415, 0.12904558085149567, -0.09509373820633144]",2023-12-29,2022-02-24
cutoff_1130,10,2024-04-01,2540,653,0.2637593970262289,300,False,-1.2168954516836386,"[0.4067124457709387, -0.0017142422734866079, 0.006547798213308892, -0.005253211978062186, 0.12507415296219287, -0.09840311950007212]",2024-03-29,2022-02-24
cutoff_1130,10,2024-07-01,2840,695,0.245080425645801,325,False,-1.2991796998387333,"[0.41618738176305115, -0.010313141658313403, -0.03070333750820646, 0.0004629401648819382, 0.12977338642763533, -0.08259444903639407]",2024-06-28,2022-02-24
cutoff_1130,10,2024-10-01,3170,782,0.24820601012059723,330,False,-1.2472570955477011,"[0.3276044942389466, 0.0008344802165118348, -0.055808838932406866, 0.0720782749902812, 0.11704238448896971, -0.1263464976106741]",2024-09-28,2022-02-24
cutoff_1130,10,2025-01-01,3500,904,0.2649208829988863,285,False,-0.9766690196642125,"[0.330905314964735, -0.13493229295736608, -0.20456616952480497, -0.1340360309944575, -0.06257665720962399, -0.41033617293494656]",2024-12-29,2022-02-24
cutoff_1130,10,2025-04-01,3785,918,0.2395493825296245,295,False,-1.297798474732894,"[0.34467321308542426, 0.04140682210507028, -0.02473845089431109, 0.04225903354352159, 0.12182865756064011, -0.1800961090006013]",2025-03-29,2022-02-24
cutoff_1130,10,2025-07-01,4080,951,0.22459234018571952,330,False,-1.3902573384852968,"[0.3660583365828076, 0.14993137532959322, -0.05291088944362041, -0.0024023180127244314, 0.10648002174442057, -0.20096402198448762]",2025-06-28,2022-02-24
cutoff_1130,10,2025-10-01,4405,1049,0.23432170696851534,325,False,-1.3346108616137804,"[0.3435661091611102, 0.198018697320451, -0.07912531979798916, 0.03300323410266093, 0.11282199432673869, -0.24386722126351848]",2025-09-27,2022-02-24
