clock,h,origin,n_train,n_query,constant_prediction,weighted_train_mean,target_clip_lo,target_clip_hi,coefficients,last_target_maturity,min_train_date
2000,3,2026-04-01,5035,310,False,-0.8648809263821039,-597.2381117623435,620.7714847017887,"[19.34018440135748, 5.022661198933698, 7.735105064333686, 12.254646337997118, 17.31709575688251, -25.332990014214065, 20.448773215990176, -11.78208077598307, 125.0110746964184, 0.20439114891413002, 9.720788558976448, -12.549717684417866, 6.873970244909692, 5.779972436141722, -0.3247231309014294, 4.5403381986793, -14.217704209300303, -3.6657494385079663, 4.833825075173526, 0.1260698560698357, 1.030540149958887, -0.15804301485019073, -0.319564842315735, 0.4679664079487028, -1.0208987007425916, -2.57228237766556, 22.365983352162633, 4.797371757344107, -19.671591430671075]",2026-03-27,2022-02-24
2000,3,2026-07-01,5345,225,False,-3.1139837632378553,-587.3349042031401,602.6438540710153,"[18.023954871387833, 8.033397800463836, 10.072251295563571, 12.787758708534687, 14.183543073035786, -25.797335582308175, 18.411159072838387, -10.827732789668591, 121.64004217363937, 2.34795596666583, 10.855933591104007, -13.190363590774593, 6.7055865541932915, 5.3686265727685685, -0.30246636779869907, 4.311713920899432, -12.252635398758018, -3.132807288244188, 2.2300586107067035, 0.7397987953848165, 1.1868463805120266, -0.3482755497830925, -0.38645098514200876, 0.44808670398698874, -0.9002065495725541, -2.446671216112708, 22.068291910786648, 3.826968576379148, -18.953279116627847]",2026-06-26,2022-02-24
2000,5,2023-01-01,1045,285,False,-19.999298058321568,-1070.8872486150897,1208.8410038338714,"[14.734243815813063, 11.966778694079053, -26.356063028710604, 37.32619554512586, -12.777356479543098, -23.226060203016246, -16.85883438040334, 6.3984229193002236, 263.9545509083206, -23.76020084355162, 53.68348352780003, -46.360471782979545, 18.77461057002541, -19.49463681198119, -10.677219936959267, 52.31523580467182, -29.126819147513437, 16.904503538970573, 8.395682651002922, -5.560889846135142, 1.730303173062026, -5.916191542754375, -3.2097686864781676, 6.666816051114936, 0.7288410050557276, 0.0, 51.27537458033937, 93.63464277366748, -46.949554883482975]",2022-12-29,2022-02-24
2000,5,2023-04-01,1325,305,False,-5.740625980132125,-1004.8809845100977,1107.3651994167612,"[34.6019793730745, 22.384158181133795, 5.388300391168472, 32.1142655211829, 8.708157344554184, -47.229739429577776, 25.39766966162021, -4.043714538349582, 234.16396419081357, -19.115773232740796, 49.06289758823461, -43.76495478332103, 7.049564637342415, -6.6773324078806064, -11.169891075838455, 64.90806499430188, -13.252862397528464, 13.775843772582661, 7.429162318935566, -7.463756491782704, -0.9581380695856272, -4.387919513211142, -4.535599134375279, 6.509174382461022, 3.372482334711835, -10.15319971798338, 43.28585859192393, 83.06120417601511, -42.18360555756761]",2023-03-29,2022-02-24
2000,5,2023-07-01,1630,325,False,6.270219616770115,-965.870524838005,1090.3424449151416,"[22.216161684867217, 1.8328112037281057, -1.863091755092147, 25.63151421384491, 22.891945549798454, -36.91988456045907, 21.22575523177083, 1.4325472812099826, 214.10268244565015, -20.65234124989422, 27.70750953311004, -20.53957468063481, 15.923721603073224, -11.401889965441335, -12.460782456109028, 32.92440707067078, -49.169972396811595, 9.212648890439395, 14.925236060221529, -7.5789938694609145, -0.6847778287102491, -2.765379431326052, -2.1516620141565923, 2.5426056339066245, 3.0592136402884957, 2.9269342013408672, 38.75096992219359, 75.87667616190971, -39.2149694661343]",2023-06-28,2022-02-24
2000,5,2023-10-01,1960,320,False,14.35609478022004,-945.6187660151171,1058.3037639111294,"[24.932007070063527, 7.681965474265324, -7.8558294357442815, 28.20700340873518, 43.91506666287077, -43.61809094836127, 31.232483717103193, -9.60263912060064, 198.00852134142144, -15.864243583189914, 27.183360104999423, -21.638677004326002, 22.280449249018165, -11.66935464084713, -5.283623244743721, 34.804606555301625, -42.741121727499, 17.04677787319314, 26.858835172939227, 4.337309166993176, 0.47216991178786527, -4.173567012378128, -2.194678511524675, 3.2086150961730153, 2.6874605159428255, -7.492942219732939, 43.30564004221587, 56.07808509244721, -36.187162718902414]",2023-09-28,2022-02-24
2000,5,2024-01-01,2285,285,False,7.2638455664686035,-922.1232443954863,1039.0518167526213,"[30.99253106022058, 0.2318309502595749, -10.723555100892417, 18.891376521406333, 52.76868055802075, -43.088372456876606, 37.27689107384888, -1.0717024923561833, 185.71557858917654, -10.70715062953578, 24.43280609365427, -21.721335486534247, 23.240484086624914, -15.22240693778128, -3.3995328808165524, 22.24576386774757, -57.32614471671048, 8.340567842049168, 36.874867394444564, 13.113309970500065, 0.6586528345645223, -3.9212108383652517, -1.3591915458539006, 1.3063187030157568, 3.315430846640519, -9.031928167251705, 41.77280058004742, 49.94461294749254, -34.39670487076233]",2023-12-29,2022-02-24
2000,5,2024-04-01,2570,300,False,7.229408168999094,-858.8440248113787,1013.5623233984381,"[27.775837822236674, 3.55051257403235, -6.095006568892388, 30.70348783218384, 33.443573306371604, -43.23748481652071, 34.330983213972, -0.39407416930223726, 173.52577435077532, -9.367444161268823, 19.55063152809534, -15.402217954386797, 25.664488629981896, -13.02822721625255, -2.8710397247113715, 22.471287440565714, -50.15955498406, 10.022529835451689, 33.059900025701225, 11.415411932374571, 0.7341559969222167, -3.875383699101891, -1.2257531172178755, 1.981198793605692, 2.385782025789829, -14.81796380592746, 38.57744145315627, 45.92911032993971, -32.676585472694036]",2024-03-29,2022-02-24
2000,5,2024-07-01,2870,330,False,2.568246160410026,-817.0958145665713,997.3930399041518,"[23.977991827686647, -5.839338792494545, -10.566870749105604, 22.11917841013689, 55.503693561538356, -44.76170849062807, 46.26740386433558, 7.069743766106439, 160.07459482941763, -5.159227873484559, 11.926358614853557, -5.1975926207335625, 25.453566824247737, -15.85142861672356, -6.944844425553485, 20.05153436175168, -33.14863495061416, 12.92365661306524, 26.009315597927483, 8.352477025067465, 0.6799234519786714, -3.5666924757758016, -0.4788530038203875, 2.427012342642088, 0.9386096849757917, -12.40542769257182, 37.072928687730624, 38.375189386514236, -31.267265657193796]",2024-06-28,2022-02-24
2000,5,2024-10-01,3195,325,False,5.963882353412344,-786.5437267981632,984.5519035166994,"[20.580003731460327, -11.931999472320706, -1.9053896417333904, 27.710152823734887, 65.38513328855105, -62.71571430343201, 56.01410854889539, -0.10287176697967061, 152.42532697897516, -6.753058093543288, 6.245594387695341, -2.0355276030704714, 8.945204349249694, 4.695711760682429, -2.193070652422773, 16.818834647965005, -22.564865047311308, 15.38025494923851, 22.593926315410894, 2.2587106644654056, 1.0342419894233446, -3.12865774208393, 0.12955709966728082, 2.351584895439362, -0.386726242444344, -14.869024327188594, 34.10044100787009, 34.95900177068406, -29.100344163227703]",2024-09-27,2022-02-24
2000,5,2025-01-01,3525,290,False,7.620492952565795,-770.2647496809547,953.6782601009149,"[24.175146813876502, 4.934221728108969, 8.935392344578867, 27.539370639141932, 55.80745965770294, -68.47685006428226, 52.67111819394021, -15.662532706543052, 148.76419022825394, -5.7699028441203115, 15.332409265015178, -14.330497711564298, 0.2587177258729382, 20.08929217583071, -8.596927824965631, 14.480353970723577, -17.99804396776988, 10.384933739464651, 13.487364709994116, 1.6620144928735865, 0.4244437663001029, -2.2116918658915314, 0.019187696227351135, 3.162810075959247, -1.3947496725918473, -10.678730438606511, 29.27996140932378, 30.393724781884895, -27.062612165156278]",2024-12-28,2022-02-24
2000,5,2025-04-01,3810,295,False,-3.6908461480722266,-752.1839072849261,945.2132761434705,"[34.53357363681297, 14.573907030799386, 8.34103698906229, 26.275912619563297, 61.80500061506115, -84.30846753776626, 58.13262201800087, -19.2858909485288, 145.971179683722, -1.738853001672351, 16.2483199370266, -18.0758354863876, -1.3615680298422725, 19.819348757162928, -6.50418507549459, 16.714754526096733, -9.49635907436365, 8.837512186150109, 16.345254881310552, 10.133987474346238, 0.4089747566504986, -2.33656577817445, 0.25342660641949544, 2.843780875884887, -1.1696164607793822, -12.003949643373852, 29.857935029245606, 27.52222768751009, -26.443323677478517]",2025-03-28,2022-02-24
2000,5,2025-07-01,4105,330,False,-6.351006151169173,-745.3332406748739,934.7060147545548,"[36.19706041460166, 17.51766577200166, 9.09544918531608, 23.40829699204996, 51.154914795522075, -80.11481242066992, 52.930480156294486, -19.50917842546897, 141.42699039924835, -0.1998259616959735, 17.09225560591359, -20.264464545754297, 9.72429509693187, 5.755066429302697, -3.091669556431965, 15.130101923027848, -12.430788900878833, 5.338131892890396, 16.951224845564155, 11.357873055606088, 1.5572519997300058, -1.5253044008723102, -0.0929337659625706, 2.319978280777849, -2.2589921136751787, -9.880521480819736, 29.530687664778895, 25.161541891546975, -25.43619340616655]",2025-06-27,2022-02-24
