block,currency,month,n,base_rate_h5,benefit_h5_bps
shock_adaptation,TJS,10,42,0.30952380952380953,0.6826107087741855
shock_adaptation,TJS,11,42,0.23809523809523808,-23.479648361118354
shock_adaptation,TJS,12,45,0.4222222222222222,72.52090098216571
shock_adaptation,UZS,1,31,0.5483870967741935,40.410850465420516
shock_adaptation,UZS,2,37,0.4864864864864865,234.60599826983142
shock_adaptation,UZS,3,44,0.22727272727272727,-126.22378239126084
shock_adaptation,UZS,4,43,0.16279069767441862,-136.00247300784565
shock_adaptation,UZS,5,36,0.2777777777777778,-48.571706171116865
shock_adaptation,UZS,6,42,0.2857142857142857,-12.675865214476191
shock_adaptation,UZS,7,43,0.3953488372093023,78.89282898625407
shock_adaptation,UZS,8,45,0.4666666666666667,-2.796095599853213
shock_adaptation,UZS,9,44,0.22727272727272727,-26.550822226705147
shock_adaptation,UZS,10,42,0.2857142857142857,-11.872354825747204
shock_adaptation,UZS,11,42,0.16666666666666666,-31.177416788001892
shock_adaptation,UZS,12,45,0.4222222222222222,62.61468941640315
retrospective_final,AMD,1,47,0.19148936170212766,-26.906216804873623
retrospective_final,AMD,2,59,0.2711864406779661,-37.2667098177023
retrospective_final,AMD,3,62,0.3870967741935484,20.285845946329317
retrospective_final,AMD,4,65,0.15384615384615385,-42.04093602304203
retrospective_final,AMD,5,58,0.10344827586206896,-35.50215901420549
retrospective_final,AMD,6,58,0.3448275862068966,23.032571605493814
retrospective_final,AMD,7,68,0.3088235294117647,13.667729878886362
retrospective_final,AMD,8,63,0.4126984126984127,56.56746769448775
retrospective_final,AMD,9,41,0.5121951219512195,46.18225130307682
retrospective_final,AMD,10,46,0.32608695652173914,17.201654032669364
retrospective_final,AMD,11,42,0.35714285714285715,1.0039357031686653
retrospective_final,AMD,12,43,0.2558139534883721,-3.3054924674237447
retrospective_final,KGS,1,47,0.14893617021276595,-35.2984138917319
retrospective_final,KGS,2,59,0.2542372881355932,-43.37860060677259
retrospective_final,KGS,3,62,0.3225806451612903,5.418939631615985
retrospective_final,KGS,4,65,0.15384615384615385,-56.1487218473776
retrospective_final,KGS,5,58,0.10344827586206896,-40.25684329375593
retrospective_final,KGS,6,58,0.3448275862068966,32.83849930104226
retrospective_final,KGS,7,68,0.36764705882352944,20.86556523830878
retrospective_final,KGS,8,63,0.4603174603174603,50.34461903921887
retrospective_final,KGS,9,41,0.5121951219512195,47.42495593388292
retrospective_final,KGS,10,46,0.2826086956521739,5.23477695201984
retrospective_final,KGS,11,42,0.35714285714285715,14.252116159554404
retrospective_final,KGS,12,43,0.23255813953488372,-12.696191429309158
retrospective_final,KZT,1,47,0.2127659574468085,-7.717544808729333
retrospective_final,KZT,2,59,0.23728813559322035,-22.893264600737478
retrospective_final,KZT,3,62,0.3225806451612903,22.755257254713097
retrospective_final,KZT,4,65,0.16923076923076924,-47.123094286436725
retrospective_final,KZT,5,58,0.10344827586206896,-75.90417231974884
retrospective_final,KZT,6,58,0.3275862068965517,-5.66676184099615
retrospective_final,KZT,7,68,0.23529411764705882,-4.409064280368773
retrospective_final,KZT,8,63,0.4126984126984127,61.71190440301398
retrospective_final,KZT,9,41,0.43902439024390244,35.471423970497426
retrospective_final,KZT,10,46,0.2826086956521739,31.979108307718462
retrospective_final,KZT,11,42,0.23809523809523808,1.9867135786806311
retrospective_final,KZT,12,43,0.2558139534883721,-19.257577081046325
retrospective_final,TJS,1,47,0.19148936170212766,-34.2342372351294
retrospective_final,TJS,2,59,0.23728813559322035,-52.41065073928787
retrospective_final,TJS,3,62,0.3387096774193548,0.05983445132537144
retrospective_final,TJS,4,65,0.2,-25.786107601499424
retrospective_final,TJS,5,58,0.25862068965517243,-3.2681989209507742
retrospective_final,TJS,6,58,0.39655172413793105,30.45457084488671
retrospective_final,TJS,7,68,0.35294117647058826,30.68375812919792
retrospective_final,TJS,8,63,0.4126984126984127,51.8610023229813
retrospective_final,TJS,9,41,0.5121951219512195,52.58589049878727
retrospective_final,TJS,10,46,0.32608695652173914,23.874259011906286
retrospective_final,TJS,11,42,0.40476190476190477,5.550833687492022
retrospective_final,TJS,12,43,0.2558139534883721,-17.831598799859744
retrospective_final,UZS,1,47,0.1702127659574468,-47.18619335585275
retrospective_final,UZS,2,59,0.288135593220339,-39.51977860715264
retrospective_final,UZS,3,62,0.3548387096774194,-4.5780774775746425
retrospective_final,UZS,4,65,0.15384615384615385,-50.50373166157352
retrospective_final,UZS,5,58,0.08620689655172414,-38.659966884090615
retrospective_final,UZS,6,58,0.3620689655172414,32.376507321732284
retrospective_final,UZS,7,68,0.29411764705882354,11.673579424747926
retrospective_final,UZS,8,63,0.4126984126984127,62.587598674579624
retrospective_final,UZS,9,41,0.5121951219512195,62.940843353940295
retrospective_final,UZS,10,46,0.3695652173913043,18.919949120154588
retrospective_final,UZS,11,42,0.38095238095238093,23.22548855268613
retrospective_final,UZS,12,43,0.20930232558139536,-23.493286347262735
