origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,compact_features,local_counts,class_counts
2025-04-01,first_failure_extra_h5,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,111,,"{""0"": 578, ""1"": 222, ""2"": 272, ""3"": 238, ""4"": 745}"
2025-07-01,extra_h5,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,111,,
2025-07-01,compact_hist_h5,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,59,,
2025-07-01,compact_extra_h5,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,59,,
2025-07-01,local_hist_h5,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,59,"{""AMD"": 441, ""KGS"": 435, ""KZT"": 421, ""TJS"": 452, ""UZS"": 428}",
2025-07-01,first_failure_extra_h5,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,111,,"{""0"": 638, ""1"": 241, ""2"": 286, ""3"": 253, ""4"": 759}"
2025-10-01,extra_h5,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,111,,
2025-10-01,compact_hist_h5,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,59,,
2025-10-01,compact_extra_h5,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,59,,
2025-10-01,local_hist_h5,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,59,"{""AMD"": 477, ""KGS"": 471, ""KZT"": 450, ""TJS"": 492, ""UZS"": 464}",
2025-10-01,first_failure_extra_h5,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,111,,"{""0"": 702, ""1"": 262, ""2"": 307, ""3"": 262, ""4"": 821}"
2026-01-01,extra_h5,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,111,,
2026-01-01,compact_hist_h5,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,59,,
2026-01-01,compact_extra_h5,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,59,,
2026-01-01,local_hist_h5,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,59,"{""AMD"": 510, ""KGS"": 501, ""KZT"": 483, ""TJS"": 524, ""UZS"": 497}",
2026-01-01,first_failure_extra_h5,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,111,,"{""0"": 754, ""1"": 279, ""2"": 342, ""3"": 287, ""4"": 853}"
2026-04-01,extra_h5,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,111,,
2026-04-01,compact_hist_h5,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,59,,
2026-04-01,compact_extra_h5,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,59,,
2026-04-01,local_hist_h5,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,59,"{""AMD"": 536, ""KGS"": 523, ""KZT"": 510, ""TJS"": 546, ""UZS"": 522}",
2026-04-01,first_failure_extra_h5,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,111,,"{""0"": 803, ""1"": 297, ""2"": 357, ""3"": 293, ""4"": 887}"
2026-07-01,extra_h5,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,111,,
2026-07-01,compact_hist_h5,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,59,,
2026-07-01,compact_extra_h5,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,59,,
2026-07-01,local_hist_h5,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,59,"{""AMD"": 563, ""KGS"": 546, ""KZT"": 540, ""TJS"": 574, ""UZS"": 552}",
2026-07-01,first_failure_extra_h5,5420,2775,225,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,bd72d19a173009ea54e56d292d84867926d47a5091a12977c01ac8ce6aecf6cd,2026-06-26,111,,"{""0"": 851, ""1"": 315, ""2"": 371, ""3"": 313, ""4"": 925}"
