candidate,control,h,metric,block_dates,draws,estimate,ci_lo,ci_hi,difference,delta_lo,delta_hi
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,3,sym,20,1000,62.088708988022226,49.707974208683495,78.22182272391139,2.791091177113792,0.08544123852946267,6.372631816089092
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,3,forward,20,1000,125.96701965667408,106.19919749176928,146.75853727210347,4.288367606537676,0.9207972211941794,8.293812134144678
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,5,lift,20,1000,2.4739102508904796,2.1574879244922442,2.8284010891956117,0.026409021349248718,-0.03495535176609367,0.09131879156535884
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,5,sym,20,1000,75.10059506101913,59.09604623845294,93.98329088494468,4.298098784814883,0.4187635071374189,9.104160853643464
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,5,forward,20,1000,136.4492120694573,111.7256659871867,161.19332991249246,5.982394120550367,1.8784859599803576,11.149908495363745
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,10,lift,20,1000,2.451263453137624,2.0845329587198904,2.860849414541314,0.04212539867698162,-0.039886894034238715,0.14038470333531997
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,10,sym,20,1000,80.23115475756543,57.96024892262132,103.21080896738769,4.575610509302308,-1.4723741891604303,11.203470137885377
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,10,forward,20,1000,136.1976360062996,102.21551062523316,167.21026650232668,5.847453043846542,-0.25989137524978917,12.926962416243764
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,20,lift,20,1000,2.487608391197193,2.0640648737432805,2.9887445491226567,0.019173965125705017,-0.0993457906924666,0.14861909857968172
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,20,sym,20,1000,89.18755810370097,53.95719848205865,121.52392713426626,5.188177524982152,-1.0153421818582735,11.510307780249116
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,20,forward,20,1000,134.14624307765033,72.78051140225118,188.8057406901712,9.643760275066953,0.2302086850752216,19.609907355030128
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,1,lift,50,1000,1.940000917490805,1.7455486460679503,2.139726273101223,-0.00149944628125942,-0.011969983872805534,0.007013998303254176
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,1,sym,50,1000,31.019576292045635,24.39130705581022,38.55353072254124,-0.005496278002937061,-1.5881965595775085,1.7561754906565417
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,1,forward,50,1000,95.9138426442874,80.83223769340064,112.03024809256975,0.9272104540439159,-1.3964802482555192,3.416408135516404
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,3,lift,50,1000,2.403195968678118,2.065436018132034,2.8033457873372134,0.016171712462697663,-0.02195273496054121,0.056812169265030306
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,3,sym,50,1000,62.088708988022226,48.248003436746416,78.52258471637015,2.791091177113792,0.07257530989889355,6.577101864244215
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,3,forward,50,1000,125.96701965667408,105.0247991330057,146.38398444363096,4.288367606537676,0.8727964183071468,8.835180340276619
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,5,lift,50,1000,2.4739102508904796,2.1075504787987507,2.868573243837965,0.026409021349248718,-0.022803500262955967,0.09583368460010361
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,5,sym,50,1000,75.10059506101913,58.651857132481396,94.06699091634215,4.298098784814883,0.5336079446092523,9.55640063800777
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,5,forward,50,1000,136.4492120694573,110.43588618148628,162.20388126313992,5.982394120550367,1.9118969955077911,11.134772435522967
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,10,lift,50,1000,2.451263453137624,2.0380117645756948,2.9140079100332206,0.04212539867698162,-0.031993392290744216,0.13480717119948382
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,10,sym,50,1000,80.23115475756543,60.51859343410924,103.43839482472461,4.575610509302308,-0.9598856410772859,11.420187279783896
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,10,forward,50,1000,136.1976360062996,98.04114628283523,173.79732614568962,5.847453043846542,0.2946978923215668,13.066229599185867
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,20,lift,50,1000,2.487608391197193,2.0426169305047135,3.036284768917243,0.019173965125705017,-0.09205217017965103,0.1501666111336407
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,20,sym,50,1000,89.18755810370097,60.96944902386991,123.26741417397272,5.188177524982152,-0.9808495346259214,12.018658220766167
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,20,forward,50,1000,134.14624307765033,55.84142024061075,209.57766164121958,9.643760275066953,0.9731575309347491,19.44509386512409
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,1,lift,20,1000,1.940000917490805,1.7774790878668874,2.1166520081529514,0.005660209791332971,-0.0073634935180323935,0.017528997511857256
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,1,sym,20,1000,31.019576292045635,25.069516671961594,38.19740441747772,1.3582990851241803,-0.3464421085785888,3.4225253871389736
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,1,forward,20,1000,95.9138426442874,83.82048107364525,109.97692247509846,1.9111702939406428,-0.9137602152804476,4.947432134659223
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,3,lift,20,1000,2.403195968678118,2.103895002351336,2.738573582342601,0.02754629536398312,-0.019407150758202697,0.07903311688900835
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,3,sym,20,1000,62.088708988022226,49.707974208683495,78.22182272391139,4.952994775939665,1.824208568012568,8.728853822725998
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,3,forward,20,1000,125.96701965667408,106.19919749176928,146.75853727210347,5.272426243508022,1.4070950083474174,9.63128413204259
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,5,lift,20,1000,2.4739102508904796,2.1574879244922442,2.8284010891956117,0.036487253046505685,-0.02658713542288329,0.11189909252286381
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,5,sym,20,1000,75.10059506101913,59.09604623845294,93.98329088494468,6.353095798616792,2.2696599553308747,10.88894029687264
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,5,forward,20,1000,136.4492120694573,111.7256659871867,161.19332991249246,6.276773963310234,2.0160549949773117,11.564111884409831
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,10,lift,20,1000,2.451263453137624,2.0845329587198904,2.860849414541314,0.058951212424160904,-0.029912354349303193,0.16444273648481278
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,10,sym,20,1000,80.23115475756543,57.96024892262132,103.21080896738769,4.92210998008926,-1.4092663616458445,11.671022942871927
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,10,forward,20,1000,136.1976360062996,102.21551062523316,167.21026650232668,3.0409464822901384,-4.902240003945407,11.808144237157553
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,20,lift,20,1000,2.487608391197193,2.0640648737432805,2.9887445491226567,0.021855295747192915,-0.1066907720857014,0.14737785361923067
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,20,sym,20,1000,89.18755810370097,53.95719848205865,121.52392713426626,3.9329619585075193,-3.1745819385527745,11.485243167022443
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,20,forward,20,1000,134.14624307765033,72.78051140225118,188.8057406901712,2.4912651779361,-8.675687208287718,14.074535138460732
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,1,lift,50,1000,1.940000917490805,1.7455486460679503,2.139726273101223,0.005660209791332971,-0.006747230349677363,0.01938162245393412
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,1,sym,50,1000,31.019576292045635,24.39130705581022,38.55353072254124,1.3582990851241803,-0.40556740997693136,3.401924428917557
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,1,forward,50,1000,95.9138426442874,80.83223769340064,112.03024809256975,1.9111702939406428,-1.5125408444246597,5.583795801720715
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,3,lift,50,1000,2.403195968678118,2.065436018132034,2.8033457873372134,0.02754629536398312,-0.012739673509349592,0.07407458586854275
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,3,sym,50,1000,62.088708988022226,48.248003436746416,78.52258471637015,4.952994775939665,1.8712011254520262,8.83848200410378
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,3,forward,50,1000,125.96701965667408,105.0247991330057,146.38398444363096,5.272426243508022,1.5697996338963136,10.306052414102835
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,5,lift,50,1000,2.4739102508904796,2.1075504787987507,2.868573243837965,0.036487253046505685,-0.021544763756838968,0.10370634109685477
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,5,sym,50,1000,75.10059506101913,58.651857132481396,94.06699091634215,6.353095798616792,2.7030953113217504,11.021510333976794
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,5,forward,50,1000,136.4492120694573,110.43588618148628,162.20388126313992,6.276773963310234,2.1372624945618384,11.743436447180608
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,10,lift,50,1000,2.451263453137624,2.0380117645756948,2.9140079100332206,0.058951212424160904,-0.022908153347409598,0.1579451701902352
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,10,sym,50,1000,80.23115475756543,60.51859343410924,103.43839482472461,4.92210998008926,-0.42012271357907416,11.275077780807058
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,10,forward,50,1000,136.1976360062996,98.04114628283523,173.79732614568962,3.0409464822901384,-4.132124147774002,11.62482477515751
pace_cat_y20_gate_full_specialist_dual_month24_cap2,extra_ap12_pace365_p55_r70_month24_cap2,20,lift,50,1000,2.487608391197193,2.0426169305047135,3.036284768917243,0.021855295747192915,-0.11614411499704883,0.1494618824554126
