candidate,kind,group,n_scope,n_signals,base_rate,hit_rate,pooled_lift,frequency,future_bps
residual_global_quantile_w10,quarter,2026Q1,270,78,0.2851851851851852,0.6538461538461539,2.2927072927072927,1.4181818181818182,122.36825749272543
residual_global_quantile_w10,quarter,2026Q2,310,75,0.3032258064516129,0.5066666666666667,1.670921985815603,1.1666666666666665,104.64808649679757
residual_global_quantile_w10,quarter,2026Q3,205,53,0.4682926829268293,0.9622641509433962,2.0548349056603774,1.325,172.52059404957276
residual_global_quantile_w10_stale20,all,all,2020,516,0.26782178217821784,0.5426356589147286,2.026107266188081,1.218212478920742,93.51529266900334
residual_global_quantile_w10_stale20,availability,present,1032,257,0.2567829457364341,0.5758754863813229,2.242654724322737,0.6067453625632379,103.1826648172736
residual_global_quantile_w10_stale20,availability,absent,988,259,0.2793522267206478,0.5096525096525096,1.8244082591908677,0.6114671163575043,83.92257204311355
residual_global_quantile_w10_stale20,currency,AMD,404,106,0.2623762376237624,0.5471698113207547,2.085439658241367,1.2512647554806071,94.27491153309441
residual_global_quantile_w10_stale20,currency,KGS,404,104,0.24257425742574257,0.5673076923076923,2.338697017268446,1.2276559865092749,95.12569036037206
residual_global_quantile_w10_stale20,currency,KZT,404,108,0.26485148514851486,0.4537037037037037,1.713049498096227,1.2748735244519394,80.78504928830453
residual_global_quantile_w10_stale20,currency,TJS,404,96,0.2995049504950495,0.5833333333333334,1.947658402203857,1.1332209106239461,94.85928503629059
residual_global_quantile_w10_stale20,currency,UZS,404,102,0.2698019801980198,0.5686274509803921,2.107573304551178,1.2040472175379429,103.29805794704154
residual_global_quantile_w10_stale20,quarter,2025Q1,285,69,0.15087719298245614,0.4927536231884058,3.2659251769464106,1.2384615384615385,51.672117045566175
residual_global_quantile_w10_stale20,quarter,2025Q2,295,64,0.16610169491525423,0.21875,1.3169642857142858,1.018181818181818,4.1517848869219485
residual_global_quantile_w10_stale20,quarter,2025Q3,330,86,0.34545454545454546,0.5232558139534884,1.51468788249694,1.323076923076923,111.28851271697727
residual_global_quantile_w10_stale20,quarter,2025Q4,325,91,0.20923076923076922,0.5274725274725275,2.521008403361345,1.4,95.88195200881103
residual_global_quantile_w10_stale20,quarter,2026Q1,270,80,0.2851851851851852,0.65,2.279220779220779,1.4545454545454546,122.02232666854452
residual_global_quantile_w10_stale20,quarter,2026Q2,310,75,0.3032258064516129,0.5066666666666667,1.670921985815603,1.1666666666666665,102.3504856168687
residual_global_quantile_w10_stale20,quarter,2026Q3,205,51,0.4682926829268293,0.9607843137254902,2.051674836601307,1.275,170.36585151153125
