policy,history,first,second,fallback,fallback_weekday,cap,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
h20_f75_s92_b70_d4,20,0.75,0.92,0.7,4,2,3,1.6366500617362798,0.3929694819970553,1.6327919155009933,21.714467875012247,62.29544676862488,241
h20_f75_s92_b70_d4,20,0.75,0.92,0.7,4,2,5,1.6154757204895382,0.33904430464462587,1.5935682361673842,27.411614387947548,65.61837957932457,241
h20_f75_s92_b70_d4,20,0.75,0.92,0.7,4,2,10,1.5792272024729521,0.2706297684379601,1.5596133293730603,34.84557960600346,78.7328677499215,241
h20_f75_s92_b70_d4,20,0.75,0.92,0.7,4,2,20,1.4910698496905392,0.18923169589077768,1.4808008769554837,45.92388417576017,100.43642340728871,241
h20_f75_s96_b50_d3,20,0.75,0.96,0.5,3,2,1,1.372580545420815,0.543380376344086,1.3719041303887747,4.153298951481607,36.45319287563488,240
h20_f75_s96_b50_d3,20,0.75,0.96,0.5,3,2,3,1.4786599751211773,0.39168346774193546,1.4787531972758456,18.221476398933117,43.68346830253754,240
h20_f75_s96_b50_d3,20,0.75,0.96,0.5,3,2,5,1.4315286624203822,0.33763440860215055,1.4240467279736089,24.64159635060012,46.172891689199574,240
h20_f75_s96_b50_d3,20,0.75,0.96,0.5,3,2,10,1.409530947473612,0.26900201612903224,1.408518511949317,31.726403369541856,54.75493023174772,240
h20_f75_s96_b50_d3,20,0.75,0.96,0.5,3,2,20,1.2374587899848526,0.1885584677419355,1.237140575358967,29.93862573571961,58.838058421090345,240
h20_f75_s96_b50_d4,20,0.75,0.96,0.5,4,2,1,1.427423200054492,0.5430970701390945,1.427319813222783,6.0599107378150885,43.187665946844035,218
h20_f75_s96_b50_d4,20,0.75,0.96,0.5,4,2,3,1.5939508506616258,0.39138798461083163,1.5930372987858143,22.078593147641996,56.514278527048965,218
h20_f75_s96_b50_d4,20,0.75,0.96,0.5,4,2,5,1.5369090709663267,0.33726694288250963,1.526951742399961,27.282192278475264,57.96423906887614,218
h20_f75_s96_b50_d4,20,0.75,0.96,0.5,4,2,10,1.4685671004613374,0.2686260728026043,1.4664988651496267,35.04884972703865,65.39917439239116,218
h20_f75_s96_b50_d4,20,0.75,0.96,0.5,4,2,20,1.2675447218399845,0.18818437407517016,1.2691178243619792,38.191658782916676,72.60681018056691,218
h20_f75_s96_b60_d3,20,0.75,0.96,0.6,3,2,1,1.3995936663549293,0.5436360448807854,1.3968863735013297,5.219326306790008,38.91410578032951,230
h20_f75_s96_b60_d3,20,0.75,0.96,0.6,3,2,3,1.518887746434798,0.39216339410939693,1.5164154868561872,19.71828636113304,45.789332493082064,230
h20_f75_s96_b60_d3,20,0.75,0.96,0.6,3,2,5,1.4913426645930534,0.3381837307152875,1.4789100426965782,26.056078367898653,48.608559243399704,230
h20_f75_s96_b60_d3,20,0.75,0.96,0.6,3,2,10,1.4519906323185012,0.26949509116409537,1.4500889388333191,34.286571890756164,60.95327596528008,230
h20_f75_s96_b60_d3,20,0.75,0.96,0.6,3,2,20,1.2904664560490615,0.18867461430575036,1.2915262605687166,33.535885592008725,67.72610443360418,230
h20_f75_s96_b60_d4,20,0.75,0.96,0.6,4,2,1,1.4571510461450272,0.5437120149602618,1.4558580062115785,6.713809588102704,45.92320649409256,207
h20_f75_s96_b60_d4,20,0.75,0.96,0.6,4,2,3,1.6379798381089534,0.3922588436964314,1.635865860187494,23.81704106694716,59.83655138433865,207
h20_f75_s96_b60_d4,20,0.75,0.96,0.6,4,2,5,1.5994471956696992,0.33828112825307777,1.5845637532107986,28.779539816717268,60.988755221451505,207
h20_f75_s96_b60_d4,20,0.75,0.96,0.6,4,2,10,1.523231447358913,0.2695769050958392,1.519753430970978,37.02560030208406,70.46018874883646,207
h20_f75_s96_b60_d4,20,0.75,0.96,0.6,4,2,20,1.3308565531475747,0.18875642823749417,1.3377512838208645,40.55475857445687,79.96332355974708,207
h20_f75_s96_b70_d3,20,0.75,0.96,0.7,3,2,1,1.4513994910941477,0.5437618595825426,1.4484988048318816,5.896954046787248,45.73257656711708,204
h20_f75_s96_b70_d3,20,0.75,0.96,0.7,3,2,3,1.6489195587568628,0.39241382036685646,1.6442313165483982,23.692649439089003,61.331505240486216,204
h20_f75_s96_b70_d3,20,0.75,0.96,0.7,3,2,5,1.5935510251767042,0.3383736559139785,1.5733332565890124,28.754796227471804,63.19088277375357,204
h20_f75_s96_b70_d3,20,0.75,0.96,0.7,3,2,10,1.5082063305978897,0.26976597090449084,1.5015960675227973,36.710865679373875,73.78141606726997,204
h20_f75_s96_b70_d3,20,0.75,0.96,0.7,3,2,20,1.3246753246753247,0.18872549019607843,1.326688232850644,38.87220650012465,82.98673391110495,204
h20_f75_s96_b70_d4,20,0.75,0.96,0.7,4,2,1,1.4578949339124574,0.5438864450961225,1.4567831800927677,6.525555626770822,47.32656931669373,198
h20_f75_s96_b70_d4,20,0.75,0.96,0.7,4,2,3,1.6341185016083843,0.39251384815900947,1.632337416848594,24.38688363941059,63.256952622275726,198
h20_f75_s96_b70_d4,20,0.75,0.96,0.7,4,2,5,1.5964384550595596,0.33850602802215707,1.578585794752217,29.500641702152546,64.51983199235394,198
h20_f75_s96_b70_d4,20,0.75,0.96,0.7,4,2,10,1.5153892576946288,0.2699576409253829,1.5093547391079192,38.282792338284175,75.222562491934,198
h20_f75_s96_b70_d4,20,0.75,0.96,0.7,4,2,20,1.3099062196830868,0.18892554578038454,1.3129253689027287,42.07253466491718,85.05522931159847,198
h20_f80_s88_b50_d3,20,0.8,0.88,0.5,3,2,1,1.371577968274718,0.543726079825041,1.3691494240292683,0.9532732302500998,39.65622902925112,295
h20_f80_s88_b50_d3,20,0.8,0.88,0.5,3,2,3,1.4608065246941548,0.3921678512848551,1.4556905346090654,8.774779855561645,43.88794839063541,295
h20_f80_s88_b50_d3,20,0.8,0.88,0.5,3,2,5,1.453399078490017,0.3381902679059595,1.4411727923668969,16.828799387005756,49.709772698966226,295
h20_f80_s88_b50_d3,20,0.8,0.88,0.5,3,2,10,1.3959432048681542,0.2695462001093494,1.3850788328384354,20.87954807467187,56.911998113082134,295
