origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,correction_mean,correction_abs_mean,correction_max_abs,local_counts
2024-10-01,full_recent50,3280,1496,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,586880ed8534416918f7f80ab0c77c7e0ae28006ea48ac0f55301847a41bbc6c,2024-09-27,,,,
2024-10-01,resid_hist100,3280,1496,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,586880ed8534416918f7f80ab0c77c7e0ae28006ea48ac0f55301847a41bbc6c,2024-09-27,-0.2310881438659982,0.25544986084387844,0.7220476942416664,
2024-10-01,resid_hist50,3280,1496,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,586880ed8534416918f7f80ab0c77c7e0ae28006ea48ac0f55301847a41bbc6c,2024-09-27,-0.1155440719329991,0.12772493042193922,0.3610238471208332,
2024-10-01,resid_ridge,3280,1496,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,586880ed8534416918f7f80ab0c77c7e0ae28006ea48ac0f55301847a41bbc6c,2024-09-27,-0.18110532449468608,0.19431307497363168,1.0716921054386677,
2024-10-01,local_resid_ridge,3280,1496,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,586880ed8534416918f7f80ab0c77c7e0ae28006ea48ac0f55301847a41bbc6c,2024-09-27,-0.16951559158490861,0.18189560093462043,1.0711007607664995,"{""AMD"": 305, ""KGS"": 302, ""KZT"": 292, ""TJS"": 299, ""UZS"": 298}"
2024-10-01,stack_logit,3280,1496,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,586880ed8534416918f7f80ab0c77c7e0ae28006ea48ac0f55301847a41bbc6c,2024-09-27,,,,
2025-01-01,full_recent50,3610,1710,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9516071e579d694f52d2d9086a6c93b06b757ae8d74f61667347feda2b93399d,2024-12-28,,,,
2025-01-01,resid_hist100,3610,1710,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9516071e579d694f52d2d9086a6c93b06b757ae8d74f61667347feda2b93399d,2024-12-28,-0.20011660671660184,0.2386739545075049,0.6591622423052632,
2025-01-01,resid_hist50,3610,1710,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9516071e579d694f52d2d9086a6c93b06b757ae8d74f61667347feda2b93399d,2024-12-28,-0.10005830335830092,0.11933697725375245,0.3295811211526316,
2025-01-01,resid_ridge,3610,1710,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9516071e579d694f52d2d9086a6c93b06b757ae8d74f61667347feda2b93399d,2024-12-28,-0.10620085932953405,0.16218600578584966,0.753393307634357,
2025-01-01,local_resid_ridge,3610,1710,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9516071e579d694f52d2d9086a6c93b06b757ae8d74f61667347feda2b93399d,2024-12-28,-0.09923780474419167,0.15042924970458285,0.726756459983227,"{""AMD"": 350, ""KGS"": 346, ""KZT"": 329, ""TJS"": 344, ""UZS"": 341}"
2025-01-01,stack_logit,3610,1710,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9516071e579d694f52d2d9086a6c93b06b757ae8d74f61667347feda2b93399d,2024-12-28,,,,
2025-04-01,full_recent50,3895,1814,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,40150cabc37be2f5376d3d90547a11e1eee7aabf5512b7115d2a08112d68a4cd,2025-03-28,,,,
2025-04-01,resid_hist100,3895,1814,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,40150cabc37be2f5376d3d90547a11e1eee7aabf5512b7115d2a08112d68a4cd,2025-03-28,-0.1189209251202137,0.15201179673007267,0.5568310053640796,
2025-04-01,resid_hist50,3895,1814,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,40150cabc37be2f5376d3d90547a11e1eee7aabf5512b7115d2a08112d68a4cd,2025-03-28,-0.05946046256010685,0.07600589836503634,0.2784155026820398,
2025-04-01,resid_ridge,3895,1814,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,40150cabc37be2f5376d3d90547a11e1eee7aabf5512b7115d2a08112d68a4cd,2025-03-28,-0.24070078706067904,0.2477208657335187,0.7822661832256209,
2025-04-01,local_resid_ridge,3895,1814,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,40150cabc37be2f5376d3d90547a11e1eee7aabf5512b7115d2a08112d68a4cd,2025-03-28,-0.1965080047480653,0.20453878482361915,0.7960271587931096,"{""AMD"": 370, ""KGS"": 366, ""KZT"": 351, ""TJS"": 366, ""UZS"": 361}"
2025-04-01,stack_logit,3895,1814,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,40150cabc37be2f5376d3d90547a11e1eee7aabf5512b7115d2a08112d68a4cd,2025-03-28,,,,
2025-07-01,full_recent50,4190,1936,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,1ee4374a46862231bba6399c2aa9e97a053aa086fadbdc7e38c907a1ae8f66ea,2025-06-27,,,,
2025-07-01,resid_hist100,4190,1936,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,1ee4374a46862231bba6399c2aa9e97a053aa086fadbdc7e38c907a1ae8f66ea,2025-06-27,-0.0693636416733224,0.13878343899215884,0.6364179625679709,
2025-07-01,resid_hist50,4190,1936,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,1ee4374a46862231bba6399c2aa9e97a053aa086fadbdc7e38c907a1ae8f66ea,2025-06-27,-0.0346818208366612,0.06939171949607942,0.31820898128398545,
2025-07-01,resid_ridge,4190,1936,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,1ee4374a46862231bba6399c2aa9e97a053aa086fadbdc7e38c907a1ae8f66ea,2025-06-27,-0.27254250183850653,0.2940525835027585,0.8789013017662689,
2025-07-01,local_resid_ridge,4190,1936,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,1ee4374a46862231bba6399c2aa9e97a053aa086fadbdc7e38c907a1ae8f66ea,2025-06-27,-0.2234027831773347,0.24523388593476986,0.7218349467547083,"{""AMD"": 394, ""KGS"": 385, ""KZT"": 377, ""TJS"": 396, ""UZS"": 384}"
2025-07-01,stack_logit,4190,1936,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,1ee4374a46862231bba6399c2aa9e97a053aa086fadbdc7e38c907a1ae8f66ea,2025-06-27,,,,
2025-10-01,full_recent50,4515,2113,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,17eb385001ea553875e6cb7f92ee75f930a540f04ff652e45c765b0063f3818b,2025-09-26,,,,
2025-10-01,resid_hist100,4515,2113,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,17eb385001ea553875e6cb7f92ee75f930a540f04ff652e45c765b0063f3818b,2025-09-26,-0.1867287493436575,0.2253352296741053,0.6456238719851756,
