rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,rate,rolling,cooldown
0.3,557,2.2028248587570625,20,0,0.30341113105924594,0.3379032258064516,0.8979231563567184,0.5649158863833904,-3.441366907097417,0.8979231563567184,0.8979231563567184,0,1,2.096045197740113,2.2937853107344632,0.8503134796238244,0.9311594202898551,0.8979231563567184,2.2028248587570625,2.2028248587570625,1.3213483146067417,3.5318181818181817,4,quarterly_reset_hist_qrank60,0.3,20,0
0.3,545,2.1553672316384183,40,0,0.3119266055045872,0.3379032258064516,0.9231240831162008,0.5649158863833904,-0.9685382986178427,0.9231240831162008,0.9231240831162008,0,1,2.056497175141243,2.3531073446327686,0.8999236058059586,0.9648148148148148,0.9231240831162008,2.1553672316384183,2.1553672316384183,0.8966292134831462,3.5954545454545457,4,quarterly_reset_hist_qrank60,0.3,40,0
0.3,530,2.096045197740113,60,0,0.3660377358490566,0.3379032258064516,1.0832620344936281,0.5649158863833904,18.390355978475725,1.0832620344936281,1.0832620344936281,1,1,2.056497175141243,2.135593220338983,1.0055607043558852,0.9619047619047619,1.0832620344936281,2.096045197740113,2.096045197740113,0.4404494382022472,4.5659090909090905,4,quarterly_reset_hist_qrank60,0.3,60,0
0.3,505,1.997175141242938,120,0,0.3940594059405941,0.3379032258064516,1.1661901273659587,0.5649158863833904,26.90198421059627,1.1661901273659587,1.1661901273659587,1,1,1.9180790960451979,2.036723163841808,1.0733419113346592,0.972,1.1661901273659587,1.997175141242938,1.997175141242938,0.015730337078651686,4.629545454545455,4,quarterly_reset_hist_qrank60,0.3,120,0
0.3,599,2.3689265536723165,250,0,0.38898163606010017,0.3379032258064516,1.1511628370275042,0.5649158863833904,22.96717396068719,1.1511628370275042,1.1511628370275042,1,1,2.3135593220338984,2.4124293785310735,1.053130555006913,0.9730639730639731,1.1511628370275042,2.3689265536723165,2.3689265536723165,0.03146067415730337,5.043181818181818,4,quarterly_reset_hist_qrank60,0.3,250,0
0.3,267,1.0559322033898306,40,3,0.30337078651685395,0.3379032258064516,0.8978037596202838,0.5649158863833904,-1.5530496744665023,0.8978037596202838,0.8978037596202838,0,1,0.9887005649717514,1.1468926553672316,0.7774294670846394,0.8969465648854962,0.8978037596202838,1.0559322033898306,1.0559322033898306,0.503370786516854,1.638636363636364,4,quarterly_reset_hist_qrank60,0.3,40,3
0.3,250,0.9887005649717514,60,3,0.344,0.3379032258064516,1.0180429594272076,0.5649158863833904,10.038625187283033,1.0180429594272076,1.0180429594272076,1,1,0.9689265536723164,1.0282485875706215,0.9756577329727071,0.9061224489795918,1.0180429594272076,0.9887005649717514,0.9887005649717514,0.251685393258427,1.9727272727272729,4,quarterly_reset_hist_qrank60,0.3,60,3
0.35,854,3.3774011299435034,0,0,0.35714285714285715,0.3379032258064516,1.0569382884418685,0.5649158863833904,11.791640624245208,1.0569382884418685,1.0569382884418685,1,1,3.26271186440678,3.46045197740113,1.0015803336259876,0.9858657243816255,1.0569382884418685,3.3774011299435034,3.3774011299435034,1.1772727272727272,5.138636363636364,4,quarterly_reset_hist_qrank60,0.35,0,0
0.35,590,2.3333333333333335,20,0,0.31186440677966104,0.3379032258064516,0.922940010517374,0.5649158863833904,-1.8654636558633193,0.922940010517374,0.922940010517374,0,1,2.214689265536723,2.4322033898305087,0.893569844789357,0.9418803418803419,0.922940010517374,2.3333333333333335,2.3333333333333335,1.3842696629213485,3.690909090909091,4,quarterly_reset_hist_qrank60,0.35,20,0
0.35,600,2.3728813559322033,40,0,0.31166666666666665,0.3379032258064516,0.9223548130469371,0.5649158863833904,0.7965413409015162,0.9223548130469371,0.9223548130469371,0,1,2.2937853107344632,2.451977401129944,0.8788093550673283,0.9764705882352941,0.9223548130469371,2.3728813559322033,2.3728813559322033,0.9438202247191012,4.088636363636364,4,quarterly_reset_hist_qrank60,0.35,40,0
0.35,582,2.3016949152542376,60,0,0.3556701030927835,0.3379032258064516,1.0525797800359227,0.5649158863833904,12.126581832706798,1.0525797800359227,1.0525797800359227,1,1,2.2542372881355934,2.3728813559322033,0.9613410162388685,0.9688041594454073,1.0525797800359227,2.3016949152542376,2.3016949152542376,0.6449438202247191,4.756818181818182,4,quarterly_reset_hist_qrank60,0.35,60,0
0.35,532,2.1039548022598873,120,0,0.39849624060150374,0.3379032258064516,1.1793206165772425,0.5649158863833904,27.523723937366626,1.1793206165772425,1.1793206165772425,1,1,2.056497175141243,2.1553672316384183,1.099340759263469,0.9791271347248577,1.1793206165772425,2.1039548022598873,2.1039548022598873,0.015730337078651686,4.740909090909091,4,quarterly_reset_hist_qrank60,0.35,120,0
0.35,632,2.499435028248588,250,0,0.379746835443038,0.3379032258064516,1.1238331168242652,0.5649158863833904,21.686693950882994,1.1238331168242652,1.1238331168242652,1,1,2.3728813559322033,2.610169491525424,1.041255932822198,0.9776714513556619,1.1238331168242652,2.499435028248588,2.499435028248588,0.03146067415730337,5.090909090909091,4,quarterly_reset_hist_qrank60,0.35,250,0
0.35,291,1.1508474576271188,40,3,0.2920962199312715,0.3379032258064516,0.8644375005125935,0.5649158863833904,-3.3459048292684153,0.8644375005125935,0.8644375005125935,0,1,1.1073446327683616,1.1864406779661016,0.8095238095238094,0.9265734265734266,0.8644375005125935,1.1508474576271188,1.1508474576271188,0.5191011235955056,1.8454545454545455,4,quarterly_reset_hist_qrank60,0.35,40,3
0.35,276,1.0915254237288137,60,3,0.31521739130434784,0.3379032258064516,0.9328629241465187,0.5649158863833904,1.1729881695496882,0.9328629241465187,0.9328629241465187,0,1,1.0480225988700564,1.1073446327683616,0.8148959474260679,0.9188191881918819,0.9328629241465187,1.0915254237288137,1.0915254237288137,0.40898876404494383,2.0045454545454544,4,quarterly_reset_hist_qrank60,0.35,60,3
0.12,742,2.9344632768361585,0,0,0.35444743935309975,0.3379032258064516,1.048961395698911,0.5565117921854424,16.233466649185456,1.048961395698911,1.048961395698911,1,1,2.531073446327684,3.6186440677966103,0.9583333333333334,0.966078697421981,1.048961395698911,2.9344632768361585,2.9344632768361585,1.5431818181818182,3.881818181818182,4,quarterly_reset_hist_qrank120,0.12,0,0
0.12,288,1.1389830508474577,20,0,0.3125,0.3379032258064516,0.9248210023866349,0.5565117921854424,-0.030935891779409513,0.9248210023866349,0.9248210023866349,0,1,1.0480225988700564,1.1864406779661016,0.7999999999999999,0.8515901060070671,0.9248210023866349,1.1389830508474577,1.1389830508474577,0.7393258426966293,1.7181818181818183,4,quarterly_reset_hist_qrank120,0.12,20,0
0.12,238,0.9412429378531074,40,0,0.31512605042016806,0.3379032258064516,0.9325926074487074,0.5565117921854424,8.474657951971375,0.9325926074487074,0.9325926074487074,0,1,0.8107344632768362,1.0480225988700564,0.896694214876033,0.8197424892703863,0.9325926074487074,0.9412429378531074,0.9412429378531074,0.4719101123595506,1.5431818181818182,4,quarterly_reset_hist_qrank120,0.12,40,0
0.12,249,0.9847457627118644,60,0,0.3614457831325301,0.3379032258064516,1.069672484688156,0.5565117921854424,21.048670127422895,1.069672484688156,1.069672484688156,1,1,0.8305084745762712,1.1073446327683616,0.8806818181818181,0.8524590163934426,1.069672484688156,0.9847457627118644,0.9847457627118644,0.298876404494382,1.75,4,quarterly_reset_hist_qrank120,0.12,60,0
0.12,263,1.0401129943502825,120,0,0.40304182509505704,0.3379032258064516,1.1927729430020781,0.5565117921854424,35.89245332336434,1.1927729430020781,1.1927729430020781,1,1,0.8305084745762712,1.1864406779661016,1.0803030303030303,0.8798449612403101,1.1927729430020781,1.0401129943502825,1.0401129943502825,0.17303370786516856,2.2750000000000004,4,quarterly_reset_hist_qrank120,0.12,120,0
0.12,396,1.5661016949152544,250,0,0.398989898989899,0.3379032258064516,1.180781562643138,0.5565117921854424,32.123820254329424,1.180781562643138,1.180781562643138,1,1,1.265536723163842,1.7005649717514124,1.107142857142857,0.928388746803069,1.180781562643138,1.5661016949152544,1.5661016949152544,0.4876404494382023,2.625,4,quarterly_reset_hist_qrank120,0.12,250,0
