candidate,period,h,n,brier,mean_probability,event_rate
local365_hist,early,1,1135,0.22306458950180164,0.6156375596519917,0.5744493392070484
local365_hist,early,3,1135,0.22513151833570627,0.47856818006717583,0.45198237885462555
local365_hist,early,5,1135,0.21470103574581012,0.4181621738600775,0.3894273127753304
local365_hist,early,10,1135,0.20091765186139612,0.3596212494135933,0.31541850220264317
local365_hist,early,20,1135,0.18647512923000883,0.3137859424312707,0.2669603524229075
local365_hist,later,1,3280,0.2015223929071884,0.49265032750788107,0.5161585365853658
local365_hist,later,3,3270,0.1977168506204137,0.33397702468025525,0.354434250764526
local365_hist,later,5,3260,0.18680043073436403,0.27530393568734424,0.294478527607362
local365_hist,later,10,3235,0.16546822722371468,0.20316720244872366,0.22812982998454404
local365_hist,later,20,3185,0.1326361626110197,0.14008170305551432,0.16577708006279435
local365_extra,early,1,1135,0.22867499820733853,0.6288199534366413,0.5744493392070484
local365_extra,early,3,1135,0.23280668810425967,0.4975769069673202,0.45198237885462555
local365_extra,early,5,1135,0.22712898909475798,0.4398733625096671,0.3894273127753304
local365_extra,early,10,1135,0.22131465381304352,0.3865222854221551,0.31541850220264317
local365_extra,early,20,1135,0.20552086806343317,0.34298850394065744,0.2669603524229075
local365_extra,later,1,3280,0.19835633899761324,0.4772129163228689,0.5161585365853658
local365_extra,later,3,3270,0.19740967222865713,0.3256205165594582,0.354434250764526
local365_extra,later,5,3260,0.1861921612969859,0.26814107517993385,0.294478527607362
local365_extra,later,10,3235,0.16634398890650598,0.1984768812858633,0.22812982998454404
local365_extra,later,20,3185,0.13593279265698333,0.13736734380308863,0.16577708006279435
local365_survival_hist,early,1,1135,0.2017717120837246,0.6002117928826753,0.5744493392070484
local365_survival_hist,early,3,1135,0.22218030229320074,0.4831938736130573,0.45198237885462555
local365_survival_hist,early,5,1135,0.22391962971617144,0.4288869972385942,0.3894273127753304
local365_survival_hist,early,10,1135,0.21694359545680295,0.38310102697294607,0.31541850220264317
local365_survival_hist,early,20,1135,0.21016034855552987,0.34693010432611804,0.2669603524229075
local365_survival_hist,later,1,3280,0.19644178984662405,0.5001720270343465,0.5161585365853658
local365_survival_hist,later,3,3270,0.197299484100801,0.3335508771702357,0.354434250764526
local365_survival_hist,later,5,3260,0.18970923968348438,0.27232915075167274,0.294478527607362
