candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,joint_early_pass
cal_frozen2023_survival_local_urgent_cap2,0.9140493447543743,0.9645487487386255,0.72782874617737,1.1559633027522935,16.234184556787856,3.913010651751186,0.27217125382262997,-0.9309244776509007,-65.03156573800075,2,0.2646647631922038,False
equal_frozen2023_h5_urgent_cap2,1.216867469879518,1.2549072093375455,1.198776758409786,1.2629969418960245,50.60858388981905,16.61687159447954,0.0,0.9400234079988466,-13.842203094033573,2,0.7994382378713655,False
equal_frozen2023_mean_urgent_cap2,1.2231512448903754,1.291889610647516,1.198776758409786,1.2844036697247707,49.43498957832473,15.861365396825414,0.0,1.083663195493834,-6.974402469827062,2,0.8409762936654275,False
cny50_probability_frozen2023_urgent_cap2,1.3130526953361599,1.34911495982379,1.348623853211009,1.4128440366972477,55.175341879358534,20.486018635621722,0.0,1.0663021738630907,-12.337526073653464,2,0.942865001194245,False
hedge_global_h63_e2_urgent_cap2,1.3128878518592064,1.3504965159614155,1.2629969418960245,1.348623853211009,52.26911280772749,18.118453645524834,0.0,0.939097658644104,-18.689509660755125,2,0.7983596669498453,False
cny50_hedge_global_h63_e2_urgent_cap2,1.3131019497298566,1.349261476496252,1.3914373088685015,1.4342507645259939,52.582914395488906,18.181347112696027,0.0,0.8772602230015374,-21.79208633641596,2,0.817107914246595,False
hedge_global_h63_e10_urgent_cap2,1.3294697118212118,1.3726449903437152,1.2844036697247707,1.3700305810397553,53.67164210554644,18.843341693788528,0.0,0.9312909263162786,-19.908939275246656,2,0.817761135746097,False
cny50_hedge_global_h63_e10_urgent_cap2,1.320193861066236,1.3482266697320615,1.3914373088685015,1.45565749235474,53.175372304566984,17.687361968023417,0.0,0.8605977459390597,-22.97980575635882,2,0.8314996657693217,False
hedge_global_h63_e30_urgent_cap2,1.2935701396143984,1.3525477831799955,1.3272171253822629,1.4128440366972477,50.47340897236051,17.377561168170217,0.0,0.8770784942602781,-20.824582267706017,2,0.8376728590318722,False
cny50_hedge_global_h63_e30_urgent_cap2,1.3082188558524654,1.3386080559300881,1.3700305810397553,1.4128440366972477,53.30328077177458,17.760276100409055,0.0,0.8329632342212061,-23.76278108156297,2,0.8702119204522799,False
hedge_global_h252_e2_urgent_cap2,1.3128878518592064,1.3504965159614155,1.2629969418960245,1.348623853211009,52.1701579922166,18.20044853468254,0.0,0.9399089524807586,-18.648944968922393,2,0.798568489395695,False
cny50_hedge_global_h252_e2_urgent_cap2,1.3131019497298566,1.3482127838971576,1.3914373088685015,1.4342507645259939,52.233607797539264,18.087058475032972,0.0,0.8727454605738463,-22.017824457800515,2,0.8162937710475385,False
hedge_global_h252_e10_urgent_cap2,1.3226226767627103,1.3674201257650431,1.2844036697247707,1.3700305810397553,53.835496695424716,18.70325818861444,0.0,0.9163275202580089,-20.31475782523507,2,0.8144374394653449,False
