candidate,h,metric,mean_bps,ci_lo,ci_hi,n
cal_rolling365_survival_hist_urgent_cap2,1,forward,45.006882565626015,34.67108788352099,55.901213722607025,860
cal_rolling365_survival_hist_urgent_cap2,3,sym,30.043814553855125,23.372344860737023,37.14695485877434,859
cal_rolling365_survival_hist_urgent_cap2,3,forward,52.42813611683638,35.521625204151384,68.50873284254999,859
cal_rolling365_survival_hist_urgent_cap2,5,sym,34.79228772719466,26.43525346087149,43.6095573690666,855
cal_rolling365_survival_hist_urgent_cap2,5,forward,53.8057133971924,30.49683110047195,76.41828682367814,855
cal_rolling365_survival_hist_urgent_cap2,10,sym,40.56661412089147,25.92990971305393,53.84530065258929,850
cal_rolling365_survival_hist_urgent_cap2,10,forward,55.08579488463834,13.905703357811973,92.2434179136659,850
cal_rolling365_survival_hist_urgent_cap2,20,sym,49.95045104647022,23.360957732409,77.02147896746199,839
cal_rolling365_survival_hist_urgent_cap2,20,forward,52.5800379763184,-16.779850812386357,115.02289295553562,839
cal_rolling365_survival_logit_urgent_cap2,1,sym,14.755298069862965,10.535268112994052,18.940213748644315,719
cal_rolling365_survival_logit_urgent_cap2,1,forward,36.7272481822646,24.492309682917803,49.43693620623938,719
cal_rolling365_survival_logit_urgent_cap2,3,sym,27.56781282595333,20.43425442560707,34.772682770900786,717
cal_rolling365_survival_logit_urgent_cap2,3,forward,42.095830445455825,19.769986915023914,65.09476078986351,717
cal_rolling365_survival_logit_urgent_cap2,5,sym,31.63824242807312,22.195702910490255,41.17801712871693,714
cal_rolling365_survival_logit_urgent_cap2,5,forward,40.90279533169685,11.902172618811328,71.87030868870495,714
cal_rolling365_survival_logit_urgent_cap2,10,sym,37.46389127713972,20.345622266599438,52.42674620560892,705
cal_rolling365_survival_logit_urgent_cap2,10,forward,34.30269791544078,-13.027404756986641,79.80252535106209,705
cal_rolling365_survival_logit_urgent_cap2,20,sym,44.985237799511154,9.809908616135445,78.63600190064463,690
cal_rolling365_survival_logit_urgent_cap2,20,forward,15.028379013599709,-71.98573485117787,95.11608068288292,690
cal_rolling365_survival_local_urgent_cap2,1,sym,13.472828476434161,7.958929655379019,19.1043862080242,684
cal_rolling365_survival_local_urgent_cap2,1,forward,30.327124647084243,13.25948003690998,46.6405006836508,684
cal_rolling365_survival_local_urgent_cap2,3,sym,24.637761008501663,17.39712971164566,32.71110219321933,683
cal_rolling365_survival_local_urgent_cap2,3,forward,34.65244696304916,9.32474141114722,58.453501633560386,683
cal_rolling365_survival_local_urgent_cap2,5,sym,28.322862520394498,19.28854378255762,37.99801563112934,679
cal_rolling365_survival_local_urgent_cap2,5,forward,29.895986276258885,-4.475097572890204,63.25833637844683,679
cal_rolling365_survival_local_urgent_cap2,10,sym,33.5549365916772,17.345361760620726,49.57600890499895,672
cal_rolling365_survival_local_urgent_cap2,10,forward,16.89400810924669,-38.396279138766616,70.32083240315141,672
cal_rolling365_survival_local_urgent_cap2,20,sym,40.13776501665473,2.390395171525506,77.63503352573244,657
cal_rolling365_survival_local_urgent_cap2,20,forward,-12.369217034135676,-107.23264984300381,79.6631138977859,657
equal_rolling365_h5_urgent_cap2,1,sym,19.355006482060308,15.183676855819641,23.838156638769252,873
equal_rolling365_h5_urgent_cap2,1,forward,52.75462041966445,43.19184105088551,62.22895951556451,873
equal_rolling365_h5_urgent_cap2,3,sym,31.1070415426043,25.5046603057511,36.971913110662044,868
equal_rolling365_h5_urgent_cap2,3,forward,58.85559850632867,42.01897847702395,74.89912356228838,868
equal_rolling365_h5_urgent_cap2,5,sym,33.76733834233302,26.207284254241525,41.63845499896047,868
