date,currency,router_equal_logit,router_equal_hist,router_equal_tree,router_tail_logit,router_tail_hist,router_tail_tree,router_equal_logit_stale20
2012-10-24,TJS,,,,,,,
2012-10-25,TJS,,,,,,,
2012-10-26,TJS,,,,,,,
2012-10-27,TJS,,,,,,,
2012-10-30,TJS,,,,,,,
2012-10-31,TJS,,,,,,,
2012-11-01,TJS,,,,,,,
2012-11-02,TJS,,,,,,,
2012-11-03,TJS,,,,,,,
2012-11-07,TJS,,,,,,,
2012-11-08,TJS,,,,,,,
2012-11-09,TJS,,,,,,,
2012-11-10,TJS,,,,,,,
2012-11-13,TJS,,,,,,,
2012-11-14,TJS,,,,,,,
2012-11-15,TJS,,,,,,,
2012-11-16,TJS,,,,,,,
2012-11-17,TJS,,,,,,,
2012-11-20,TJS,,,,,,,
2012-11-21,TJS,,,,,,,
2012-11-22,TJS,,,,,,,
2012-11-23,TJS,,,,,,,
2012-11-24,TJS,,,,,,,
2012-11-27,TJS,,,,,,,
2012-11-28,TJS,,,,,,,
2012-11-29,TJS,,,,,,,
2012-11-30,TJS,,,,,,,
2012-12-01,TJS,,,,,,,
2012-12-04,TJS,,,,,,,
2012-12-05,TJS,,,,,,,
2012-12-06,TJS,,,,,,,
2012-12-07,TJS,,,,,,,
2012-12-08,TJS,,,,,,,
2012-12-11,TJS,,,,,,,
2012-12-12,TJS,,,,,,,
2012-12-13,TJS,,,,,,,
2012-12-14,TJS,,,,,,,
2012-12-15,TJS,,,,,,,
2012-12-18,TJS,,,,,,,
2012-12-19,TJS,,,,,,,
2012-12-20,TJS,,,,,,,
2012-12-21,TJS,,,,,,,
2012-12-22,TJS,,,,,,,
2012-12-25,TJS,,,,,,,
2012-12-26,TJS,,,,,,,
2012-12-27,TJS,,,,,,,
2012-12-28,TJS,,,,,,,
2012-12-29,TJS,,,,,,,
2012-12-30,TJS,,,,,,,
2013-01-10,TJS,,,,,,,
2013-01-11,TJS,,,,,,,
2013-01-12,TJS,,,,,,,
2013-01-15,TJS,,,,,,,
2013-01-16,TJS,,,,,,,
2013-01-17,TJS,,,,,,,
2013-01-18,TJS,,,,,,,
2013-01-19,TJS,,,,,,,
2013-01-22,TJS,,,,,,,
2013-01-23,TJS,,,,,,,
2013-01-24,TJS,,,,,,,
2013-01-25,TJS,,,,,,,
2013-01-26,TJS,,,,,,,
2013-01-29,TJS,,,,,,,
2013-01-30,TJS,,,,,,,
2013-01-31,TJS,,,,,,,
2013-02-01,TJS,,,,,,,
