candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity
update_1630,5,2025-10-01,18161,4830,0.29052343280229437,325,False,-0.7826550406950205,"[0.01094344996569611, -0.016407081901289516, -0.20221321724445615, -0.13642603762617944, -0.10570340087411738, -0.31271921953290555]",2025-09-27
update_1630,5,2026-01-01,18481,4893,0.2824898117927341,270,False,-0.8353605026322065,"[0.0184410283991216, -0.03357007180537291, -0.21428217352949158, -0.15267246132388548, -0.12396526905720828, -0.3021924586614431]",2025-12-27
update_1630,5,2026-04-01,18756,4974,0.283670999519772,310,False,-0.8332787550855166,"[0.020848707490109347, -0.064588715816331, -0.19782255223603087, -0.16145734461693506, -0.12817225586141304, -0.2725654915999395]",2026-03-28
update_1630,5,2026-07-01,19066,5043,0.278918925073481,230,False,-0.8609996440535428,"[0.025619265237693888, -0.06871704995011217, -0.18643551758383403, -0.1723862581641439, -0.13472051986825745, -0.2903280418281305]",2026-06-27
update_1630,10,2023-01-01,14746,2646,0.1860410987645207,280,False,-1.5078830335224607,"[0.003159774865734728, 0.042563280868689754, -0.07011136845853994, -0.05404021020423458, 0.12621449431377335, -0.05241236692587906]",2022-12-29
update_1630,10,2023-04-01,15026,2755,0.20163465337121345,305,False,-1.0458654091243007,"[-0.013852040939530196, -0.20063539464874183, -0.24694213052947275, -0.2757686612696479, -0.06013341134144323, -0.24969009260662686]",2023-03-29
update_1630,10,2023-07-01,15331,2874,0.21744282693013198,330,False,-1.0922480348210648,"[-0.023914951458893125, 0.02114158892493445, -0.027740988261593588, -0.054734878967402256, 0.1407530177850942, -0.05586183688833509]",2023-06-28
update_1630,10,2023-10-01,15661,2985,0.22793539128447268,320,False,-0.8547642795801698,"[-0.026791318998391128, -0.1650476115337527, -0.20715919261597546, -0.20716966672921777, -0.026760699777544042, -0.2398561640328623]",2023-09-28
update_1630,10,2024-01-01,15986,3024,0.2185139343940564,285,False,-0.9784984584400268,"[-0.015141377218339466, -0.18905343036545583, -0.22809397011900723, -0.21254067361137294, -0.0815343606364974, -0.25762959298843235]",2023-12-29
update_1630,10,2024-04-01,16271,3106,0.2240862419440231,300,False,-1.1480800617161138,"[-0.015070697512459796, 0.009386803870949933, -0.026442448749237638, -0.0196593033314887, 0.10580733923798914, -0.07186424415348568]",2024-03-29
update_1630,10,2024-07-01,16571,3148,0.21695424566484425,325,False,-1.0344239329216476,"[-0.00809446106334694, -0.19639307677912912, -0.24599532150815698, -0.21615679448753103, -0.09141313564771852, -0.26442959536828503]",2024-06-28
update_1630,10,2024-10-01,16901,3235,0.22133006052766233,330,False,-1.0269391070719702,"[-0.005483332902279035, -0.1921594861960098, -0.2604041059957029, -0.17186925095399816, -0.096621404907223, -0.29259266161480024]",2024-09-28
update_1630,10,2025-01-01,17231,3357,0.23427150680217348,285,False,-0.9556267203613609,"[-0.008931652425942831, -0.14255586429115255, -0.21692972189800322, -0.16198473902260058, -0.07529307065816082, -0.33976268190032993]",2024-12-29
update_1630,10,2025-04-01,17516,3371,0.2199063719696021,295,False,-1.0647799603602217,"[0.001553770999498322, -0.17352548662800515, -0.24527884801799035, -0.19233099241734453, -0.10056634834152592, -0.3374607421164822]",2025-03-29
update_1630,10,2025-07-01,17811,3404,0.2112023748043049,330,False,-1.1330810201617907,"[0.008117730327809476, -0.11215849016959648, -0.2756484006310393, -0.23291999457915408, -0.12215426567267655, -0.36496582379618736]",2025-06-28
