policy,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
rolling_r26_m060,rolling,0.26,60,10,1.5751677508579622,0.2695951171011931,1.5660392571446056,21.43670826159453,85.73168955287204,292
rolling_r26_m060,rolling,0.26,60,20,1.9030914273185706,0.1889499558108705,1.9067145686003815,34.74230668560981,136.2550439760059,292
rolling_r26_m090,rolling,0.26,90,1,1.486774897484473,0.5441721474057835,1.4841736939814152,3.4279635208440493,51.4038225516889,309
rolling_r26_m090,rolling,0.26,90,3,1.648388168826853,0.3926558095834638,1.6466668314629787,12.425938075683163,65.4005241362067,309
rolling_r26_m090,rolling,0.26,90,5,1.6814207018760354,0.3387488255559035,1.6775549676960886,19.649958161265076,79.61911640935153,309
rolling_r26_m090,rolling,0.26,90,10,1.6782675947409125,0.26996554963983715,1.678488033419935,19.993374763914243,95.58927206627031,309
rolling_r26_m090,rolling,0.26,90,20,2.0329269132740926,0.18943783275916065,2.0400659005843407,25.949600954522715,135.99305728922207,309
rolling_r28_m010,rolling,0.28,10,1,1.3710017379728578,0.5438621188963076,1.3689842453400365,1.881811250648018,40.909535764417264,401
rolling_r28_m010,rolling,0.28,10,3,1.4362811675165927,0.3923960260638726,1.433234701873817,11.547307200728469,51.888572231133686,401
rolling_r28_m010,rolling,0.28,10,5,1.510398098633393,0.33846834526586755,1.502911219632539,19.95745129403736,59.52218840831676,401
rolling_r28_m010,rolling,0.28,10,10,1.4231098856056934,0.26985962513072165,1.413703970307195,29.593888620086336,71.76474515310329,401
rolling_r28_m010,rolling,0.28,10,20,1.438331382356071,0.18898318719330706,1.4353456910701916,38.02496541732706,91.1980017254567,401
rolling_r28_m015,rolling,0.28,15,1,1.409772617319787,0.5435659186535764,1.4092136401131417,2.8891733011569927,42.72064827947635,368
rolling_r28_m015,rolling,0.28,15,3,1.4970655636912416,0.39207135343618515,1.4974744135370635,13.82287687055265,55.95272766561917,368
