indicator,target,corridor,h,n_scope,n_signals,hit_rate,base_rate,lift,signals_per_week,weekly_max,calendar_gap_max_days,symmetric_bps,future_only_bps,decision_clock,reference,evaluation_period
ТЗ: разворот от минимума,window_closing,TJS,1,657,52,0.5384615384615384,0.5251141552511416,1.0254180602006688,0.385593220338983,3,207,-23.6758636797259,20.65083911479358,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,window_closing,UZS,1,657,62,0.5161290322580645,0.5190258751902588,0.994418692649702,0.4597457627118644,3,141,-21.743563003596645,13.575066079457761,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,window_closing,KGS,1,657,52,0.4230769230769231,0.4961948249619482,0.8526427560169891,0.385593220338983,3,187,-26.072748110688718,5.7449635757642294,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,window_closing,AMD,1,657,51,0.5294117647058824,0.5251141552511416,1.0081841432225063,0.3781779661016949,3,123,-22.56461756518671,19.576415260373068,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,window_closing,KZT,1,657,58,0.5344827586206896,0.5144596651445966,1.038920628443175,0.43008474576271183,3,120,-24.272148072868056,18.24770071146418,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),now_favourable,TJS,1,656,131,0.549618320610687,0.5259146341463414,1.0450713574510455,0.9724284199363732,6,108,0.796981965895084,2.4819897996257714,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),now_favourable,UZS,1,656,131,0.5343511450381679,0.5213414634146342,1.0249542431141467,0.9724284199363732,6,108,-0.47031053416847834,-1.7375749328428396,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),now_favourable,KGS,1,656,131,0.4961832061068702,0.4954268292682927,1.001526717557252,0.9724284199363732,6,108,0.14174872242127673,-0.5706711031582191,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),now_favourable,AMD,1,656,51,0.45098039215686275,0.524390243902439,0.8600091199270405,0.37857900318133614,6,224,-0.4482088970925365,-0.06542403914069773,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),now_favourable,KZT,1,656,113,0.46017699115044247,0.5137195121951219,0.8957747958299415,0.8388123011664899,6,108,-2.6697384793336685,-7.603626707494871,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),window_closing,TJS,1,657,132,0.5454545454545454,0.5251141552511416,1.0387351778656124,0.9788135593220338,6,108,0.796981965895084,2.4819897996257714,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),window_closing,UZS,1,657,132,0.5378787878787878,0.5190258751902588,1.0363236470274593,0.9788135593220338,6,108,-0.47031053416847834,-1.7375749328428396,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),window_closing,KGS,1,657,132,0.5,0.4961948249619482,1.0076687116564418,0.9788135593220338,6,108,0.14174872242127673,-0.5706711031582191,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),window_closing,AMD,1,657,52,0.46153846153846156,0.5251141552511416,0.8789297658862877,0.385593220338983,6,224,-0.4482088970925365,-0.06542403914069773,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: сезонность (до праздника),window_closing,KZT,1,657,114,0.4649122807017544,0.5144596651445966,0.9036904391155404,0.8453389830508474,6,108,-2.6697384793336685,-7.603626707494871,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,now_favourable,TJS,1,656,97,0.5876288659793815,0.5259146341463414,1.1173464813984761,0.7200424178154825,5,231,-12.307248676676108,12.98863496025606,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,now_favourable,UZS,1,656,60,0.6833333333333333,0.5213414634146342,1.3107212475633527,0.4453870625662778,5,280,-10.691122207192718,33.645245210416,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
