model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,ece_delta_t25,auc_delta_t25,brier_delta_identity,logloss_delta_identity,ece_delta_identity,auc_delta_identity
weak_selected,currency_year,KZT:2025,365,0.049315068493150684,0.06848368435702591,0.050456489411543785,0.2250726837661179,0.01916861586387523,0.050456489411543785,0.2250726837661179,0.01916861586387523,0.0,0.0,0.22846621837976305,0.03156201523801577,0.0,0.0,-0.009234400014958767,-0.03210388379896023,-0.080430392886337,0.0201729106628242
weak_selected,currency_year,KZT:2026,217,0.23963133640552994,0.0683865436510969,0.2028473921260011,0.6602617624906275,0.17124479275443305,0.2028473921260011,0.6602617624906275,0.17124479275443305,0.0,0.0,0.6601398601398601,0.47558829302242456,0.0,0.0,0.006778947862711299,0.05654560717632706,0.05355656077274701,0.17319347319347322
weak_selected,currency_year,TJS:2025,365,0.14246575342465753,0.14366319818172377,0.11915912857523532,0.40265340636645847,0.07892151220985255,0.11915912857523532,0.40265340636645847,0.07892151220985255,0.0,0.0,0.5661096092405996,0.33366798478519705,0.0,0.0,-0.007697091561584532,-0.022010957328117364,0.03364131084901583,0.18001966085033172
weak_selected,currency_year,TJS:2026,217,0.18433179723502305,0.11179008633742607,0.14780130307790004,0.470033182936412,0.07254171089759696,0.14780130307790004,0.470033182936412,0.07254171089759696,0.0,0.0,0.6782485875706215,0.37953498629652593,0.0,0.0,-0.0034268597227122,-0.011717122127058555,0.046657613005125706,0.18149717514124292
weak_selected,currency_year,UZS:2025,365,0.07945205479452055,0.09322694664867934,0.07407085776373179,0.28456567478514483,0.02484791121401568,0.07407085776373179,0.28456567478514483,0.02484791121401568,0.0,0.0,0.4758825944170772,0.17687027046942183,0.0,0.0,-0.010123082200906672,-0.036387801900489014,-0.0632004932023542,0.1239737274220033
weak_selected,currency_year,UZS:2026,217,0.2626728110599078,0.08491303379131863,0.21726571720572166,0.673103693895249,0.17775977726858921,0.21726571720572166,0.673103693895249,0.17775977726858921,0.0,0.0,0.7180921052631578,0.46908302196553064,0.0,-1.1102230246251565e-16,0.009761341645578903,0.04941790439405769,0.05539906814205292,0.1797149122807017
w30_full,ALL,ALL,2910,0.13711340206185568,0.1129748801515191,0.1154090138806069,0.4042711213852203,0.06582821113861156,0.11824822834296733,0.40453511320869345,0.033260100469403385,-0.0028392144623604343,-0.000263991823473142,0.534983416326559,0.25376280712918475,0.03256811066920818,-0.027606850659105064,-0.008880337103384664,-0.015890474162345902,0.02975243408230182,0.16086812012109114
w30_full,currency,AMD,582,0.13402061855670103,0.13491500946534643,0.11446575287595423,0.3970628622315415,0.04978883406420842,0.11575219324302753,0.39392501702593974,0.012780856753951157,-0.0012864403670733021,0.003137845205601786,0.5231481481481481,0.24050252201676758,0.03700797731025726,-0.02004477004477001,-0.01130589422110731,-0.028595934293142278,-0.008841330828625558,0.2066290191290191
w30_full,currency,KGS,582,0.1254295532646048,0.11040269082216353,0.10880481085388263,0.38514200224653067,0.06154464015806498,0.11091336231747127,0.384207595533155,0.03671757710061025,-0.00210855146358864,0.0009344067133756906,0.506230319993541,0.21145166295952822,0.024827063057454732,-0.022203084210242974,-0.010216866888045503,-0.023845671881109975,0.008187663147483808,0.20822456064806094
w30_full,currency,KZT,582,0.12027491408934708,0.07615108842318924,0.10285118984320711,0.3800242462150387,0.06547294670800531,0.10727577788067992,0.3873339038403767,0.051827448861507745,-0.00442458803747281,-0.007309657625337973,0.5127232142857143,0.24012279657760616,0.013645497846497566,-0.0006417410714285587,-0.007688375527595839,-0.006360380699835466,0.046889971014188125,0.22723214285714288
