model,period,h,n,brier,mean_probability,event_rate
month_fine_full20,later,5,3260,0.18939594633226683,0.2868622243781745,0.294478527607362
month_fine_full20,later,10,3235,0.17629508476476677,0.1926343163966357,0.22812982998454404
month_fine_full20,later,20,3185,0.14524919102616682,0.10516285650020997,0.16577708006279435
month_fine_partial,early,1,1135,0.1902181225479084,0.5937223386157099,0.5744493392070484
month_fine_partial,early,3,1135,0.20304697684861464,0.45549374219344996,0.45198237885462555
month_fine_partial,early,5,1135,0.20887336274891805,0.38326298619651195,0.3894273127753304
month_fine_partial,early,10,1135,0.20607558126148884,0.2798200897836515,0.31541850220264317
month_fine_partial,early,20,1135,0.19801950814951794,0.17967638437582517,0.2669603524229075
month_fine_partial,later,1,3280,0.19078615956147196,0.5004893033786557,0.5161585365853658
month_fine_partial,later,3,3270,0.18770755474602138,0.34101620343517614,0.354434250764526
month_fine_partial,later,5,3260,0.18108273264023383,0.2772342643217742,0.294478527607362
month_fine_partial,later,10,3235,0.16868406192197644,0.18097513010709346,0.22812982998454404
month_fine_partial,later,20,3185,0.14273822534377795,0.09267398714440245,0.16577708006279435
