origin,cadence,kind,endpoint,n_risk,positive_labels,n_recent_records
2022-12-01,month,fine_partial,8,232,13,11
2022-12-01,month,fine_partial,9,217,6,8
2022-12-01,month,fine_partial,10,208,13,5
2022-12-01,month,fine_partial,11,195,14,5
2022-12-01,month,fine_partial,12,176,10,0
2022-12-01,month,fine_partial,13,166,10,0
2022-12-01,month,fine_partial,14,156,4,0
2022-12-01,month,fine_partial,15,152,5,0
2022-12-01,month,fine_partial,16,147,9,0
2022-12-01,month,fine_partial,17,138,6,0
2022-12-01,month,fine_partial,18,132,3,0
2022-12-01,month,fine_partial,19,129,3,0
2022-12-01,month,fine_partial,20,126,1,0
2023-01-01,quarter,direct_full20,5,1130,294,0
2023-01-01,quarter,direct_mature5,5,1205,337,75
2023-01-01,quarter,coarse_full20,1,1130,591,0
2023-01-01,quarter,coarse_full20,3,539,185,0
2023-01-01,quarter,coarse_full20,5,354,60,0
2023-01-01,quarter,coarse_full20,10,294,68,0
2023-01-01,quarter,coarse_full20,20,226,65,0
2023-01-01,quarter,coarse_partial,1,1225,612,95
2023-01-01,quarter,coarse_partial,3,603,198,64
2023-01-01,quarter,coarse_partial,5,399,62,45
2023-01-01,quarter,coarse_partial,10,327,68,33
2023-01-01,quarter,coarse_partial,20,226,65,0
2023-01-01,quarter,fine_full20,1,1130,591,0
2023-01-01,quarter,fine_full20,2,539,117,0
2023-01-01,quarter,fine_full20,3,422,68,0
2023-01-01,quarter,fine_full20,4,354,26,0
2023-01-01,quarter,fine_full20,5,328,34,0
2023-01-01,quarter,fine_full20,6,294,20,0
2023-01-01,quarter,fine_full20,7,274,16,0
2023-01-01,quarter,fine_full20,8,258,13,0
2023-01-01,quarter,fine_full20,9,245,6,0
2023-01-01,quarter,fine_full20,10,239,13,0
2023-01-01,quarter,fine_full20,11,226,14,0
2023-01-01,quarter,fine_full20,12,212,10,0
2023-01-01,quarter,fine_full20,13,202,10,0
2023-01-01,quarter,fine_full20,14,192,4,0
2023-01-01,quarter,fine_full20,15,188,5,0
2023-01-01,quarter,fine_full20,16,183,9,0
2023-01-01,quarter,fine_full20,17,174,6,0
2023-01-01,quarter,fine_full20,18,168,3,0
2023-01-01,quarter,fine_full20,19,165,3,0
2023-01-01,quarter,fine_full20,20,162,1,0
2023-01-01,quarter,fine_partial,1,1225,612,95
2023-01-01,quarter,fine_partial,2,608,125,69
2023-01-01,quarter,fine_partial,3,478,73,56
2023-01-01,quarter,fine_partial,4,400,28,46
2023-01-01,quarter,fine_partial,5,371,34,43
2023-01-01,quarter,fine_partial,6,337,20,43
2023-01-01,quarter,fine_partial,7,317,16,43
2023-01-01,quarter,fine_partial,8,301,13,43
2023-01-01,quarter,fine_partial,9,283,6,38
2023-01-01,quarter,fine_partial,10,272,13,33
2023-01-01,quarter,fine_partial,11,254,14,28
2023-01-01,quarter,fine_partial,12,235,10,23
2023-01-01,quarter,fine_partial,13,220,10,18
2023-01-01,quarter,fine_partial,14,205,4,13
2023-01-01,quarter,fine_partial,15,196,5,8
2023-01-01,quarter,fine_partial,16,191,9,8
2023-01-01,quarter,fine_partial,17,182,6,8
2023-01-01,quarter,fine_partial,18,176,3,8
2023-01-01,quarter,fine_partial,19,170,3,5
2023-01-01,quarter,fine_partial,20,162,1,0
2023-01-01,month,direct_full20,5,1130,294,0
2023-01-01,month,direct_mature5,5,1205,337,75
2023-01-01,month,coarse_full20,1,1130,591,0
2023-01-01,month,coarse_full20,3,539,185,0
2023-01-01,month,coarse_full20,5,354,60,0
2023-01-01,month,coarse_full20,10,294,68,0
2023-01-01,month,coarse_full20,20,226,65,0
2023-01-01,month,coarse_partial,1,1225,612,95
2023-01-01,month,coarse_partial,3,603,198,64
2023-01-01,month,coarse_partial,5,399,62,45
2023-01-01,month,coarse_partial,10,327,68,33
2023-01-01,month,coarse_partial,20,226,65,0
2023-01-01,month,fine_full20,1,1130,591,0
2023-01-01,month,fine_full20,2,539,117,0
2023-01-01,month,fine_full20,3,422,68,0
2023-01-01,month,fine_full20,4,354,26,0
2023-01-01,month,fine_full20,5,328,34,0
2023-01-01,month,fine_full20,6,294,20,0
2023-01-01,month,fine_full20,7,274,16,0
2023-01-01,month,fine_full20,8,258,13,0
2023-01-01,month,fine_full20,9,245,6,0
2023-01-01,month,fine_full20,10,239,13,0
2023-01-01,month,fine_full20,11,226,14,0
2023-01-01,month,fine_full20,12,212,10,0
2023-01-01,month,fine_full20,13,202,10,0
2023-01-01,month,fine_full20,14,192,4,0
2023-01-01,month,fine_full20,15,188,5,0
2023-01-01,month,fine_full20,16,183,9,0
2023-01-01,month,fine_full20,17,174,6,0
2023-01-01,month,fine_full20,18,168,3,0
2023-01-01,month,fine_full20,19,165,3,0
2023-01-01,month,fine_full20,20,162,1,0
2023-01-01,month,fine_partial,1,1225,612,95
2023-01-01,month,fine_partial,2,608,125,69
2023-01-01,month,fine_partial,3,478,73,56
2023-01-01,month,fine_partial,4,400,28,46
2023-01-01,month,fine_partial,5,371,34,43
2023-01-01,month,fine_partial,6,337,20,43
2023-01-01,month,fine_partial,7,317,16,43
2023-01-01,month,fine_partial,8,301,13,43
2023-01-01,month,fine_partial,9,283,6,38
2023-01-01,month,fine_partial,10,272,13,33
2023-01-01,month,fine_partial,11,254,14,28
2023-01-01,month,fine_partial,12,235,10,23
2023-01-01,month,fine_partial,13,220,10,18
2023-01-01,month,fine_partial,14,205,4,13
2023-01-01,month,fine_partial,15,196,5,8
2023-01-01,month,fine_partial,16,191,9,8
2023-01-01,month,fine_partial,17,182,6,8
2023-01-01,month,fine_partial,18,176,3,8
2023-01-01,month,fine_partial,19,170,3,5
2023-01-01,month,fine_partial,20,162,1,0
2023-02-01,month,direct_full20,5,1210,338,0
2023-02-01,month,direct_mature5,5,1285,354,75
2023-02-01,month,coarse_full20,1,1210,612,0
2023-02-01,month,coarse_full20,3,598,198,0
2023-02-01,month,coarse_full20,5,400,62,0
2023-02-01,month,coarse_full20,10,338,69,0
2023-02-01,month,coarse_full20,20,269,65,0
2023-02-01,month,coarse_partial,1,1305,655,95
2023-02-01,month,coarse_partial,3,640,207,42
2023-02-01,month,coarse_partial,5,423,69,23
2023-02-01,month,coarse_partial,10,348,74,10
2023-02-01,month,coarse_partial,20,269,65,0
2023-02-01,month,fine_full20,1,1210,612,0
